election_date,election_year,origin_date,horizon_days,model,party,is_parliamentary,actual,forecast_mean,p05,p10,p25,p50,p75,p90,p95,actual_percentile,absolute_error,crps,energy_score,inside_50,inside_80,inside_90,width_50,width_80,width_90,mean_lambda,p05_lambda,fraction_lambda_lt_0_99,fraction_lambda_lt_0_90,fraction_lambda_lt_0_75,training_elections_count,training_elections,seed,samples
2018-09-09,2018,2018-06-17,84,base,MP,True,4.4143,4.3992,3.713,3.889,4.1213,4.3803,4.6492,4.9348,5.1573,53.7,0.0339,0.094381,4.528287,True,True,True,0.5279,1.0457,1.4443,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-06-17,84,base,SD,True,17.534,20.6999,17.8565,18.4909,19.5992,20.6499,21.6738,23.0855,23.8155,2.64,3.1159,2.234866,4.528287,False,False,False,2.0746,4.5946,5.959,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-06-17,84,base,REST,False,1.5307,2.8156,2.2812,2.3941,2.5865,2.7962,3.0195,3.2502,3.4156,0.0,1.2655,1.093517,4.528287,False,False,False,0.433,0.8561,1.1344,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-06-17,84,pp_centered_noise,M,True,19.8356,20.5534,16.1973,16.9625,18.986,20.5886,22.3631,23.6436,24.7003,38.2,0.753,0.692052,4.391893,True,True,True,3.3771,6.6812,8.503,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-06-17,84,pp_centered_noise,L,True,5.4896,4.8806,3.5636,3.7528,4.1847,4.7569,5.5779,6.1654,6.4474,72.62,0.7327,0.411582,4.391893,True,True,True,1.3932,2.4126,2.8838,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-06-17,84,pp_centered_noise,C,True,8.6077,9.4027,7.4818,7.9679,8.5958,9.3505,10.1499,10.8754,11.5323,25.26,0.7428,0.458659,4.391893,True,True,True,1.554,2.9075,4.0505,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-06-17,84,pp_centered_noise,KD,True,6.3223,3.0067,2.3365,2.4759,2.7184,3.0152,3.2909,3.5282,3.662,100.0,3.3071,3.087667,4.391893,False,False,False,0.5725,1.0523,1.3255,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-06-17,84,pp_centered_noise,S,True,28.261,25.0561,22.594,23.0784,23.9099,24.9154,26.0551,27.352,28.1088,95.94,3.3456,2.327002,4.391893,False,False,False,2.1452,4.2736,5.5148,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-06-17,84,pp_centered_noise,V,True,8.0049,9.1833,7.7287,7.9995,8.5563,9.2529,9.8287,10.2404,10.5026,10.08,1.248,0.758246,4.391893,False,True,True,1.2725,2.241,2.7739,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-06-17,84,pp_centered_noise,MP,True,4.4143,4.3933,3.1034,3.307,3.7257,4.4305,5.0311,5.4128,5.6473,49.52,0.0162,0.223138,4.391893,True,True,True,1.3054,2.1058,2.5439,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-06-17,84,pp_centered_noise,SD,True,17.534,20.7083,17.5626,18.3275,19.3993,20.6123,21.9727,23.2616,23.9707,4.94,3.0783,2.145051,4.391893,False,False,False,2.5734,4.9341,6.4081,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-06-17,84,pp_centered_noise,REST,False,1.5307,2.8156,2.1335,2.2551,2.4987,2.8136,3.1145,3.3638,3.5317,0.02,1.2829,1.037427,4.391893,False,False,False,0.6158,1.1087,1.3982,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-06-17,84,pp_symmetric_noise,M,True,19.8356,20.4776,16.1446,17.07,18.7178,20.4141,22.1842,23.9606,25.1248,42.0,0.5785,0.667201,4.290562,True,True,True,3.4664,6.8907,8.9801,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-06-17,84,pp_symmetric_noise,L,True,5.4896,4.9084,3.3781,3.6199,4.1163,4.9346,5.6798,6.197,6.4362,67.6,0.555,0.36494,4.290562,True,True,True,1.5635,2.5771,3.0581,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-06-17,84,pp_symmetric_noise,C,True,8.6077,9.4257,7.3762,7.8543,8.6095,9.386,10.2087,11.0088,11.6133,24.96,0.7783,0.480467,4.290562,False,True,True,1.5991,3.1545,4.2371,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-06-17,84,pp_symmetric_noise,KD,True,6.3223,2.9934,1.7186,1.896,2.255,3.0239,3.7232,4.0776,4.2729,100.0,3.2984,2.842446,4.290562,False,False,False,1.4681,2.1816,2.5543,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-06-17,84,pp_symmetric_noise,S,True,28.261,25.1053,21.0766,22.0211,23.3958,25.1141,26.813,28.2229,29.188,90.3,3.1469,1.999996,4.290562,False,False,True,3.4172,6.2018,8.1114,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-06-17,84,pp_symmetric_noise,V,True,8.0049,9.1637,7.0876,7.4523,8.3405,9.1604,9.9994,10.8223,11.2175,18.66,1.1555,0.701768,4.290562,False,True,True,1.6588,3.37,4.1299,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-06-17,84,pp_symmetric_noise,MP,True,4.4143,4.4207,2.3431,2.6466,3.496,4.3873,5.381,6.2059,6.4794,50.96,0.0269,0.314027,4.290562,True,True,True,1.885,3.5593,4.1363,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-06-17,84,pp_symmetric_noise,SD,True,17.534,20.6947,16.7531,17.5245,19.0684,20.714,22.3339,23.8265,24.6228,10.04,3.18,2.013454,4.290562,False,True,True,3.2655,6.302,7.8697,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-06-17,84,pp_symmetric_noise,REST,False,1.5307,2.8106,1.8335,1.9909,2.364,2.8078,3.2609,3.6095,3.8042,0.8,1.2772,0.933648,4.290562,False,False,False,0.8969,1.6187,1.9707,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-07-15,56,base,M,True,19.8356,19.527,17.1761,17.8401,18.5563,19.492,20.4742,21.2368,22.0025,58.66,0.3436,0.367258,4.596761,True,True,True,1.918,3.3967,4.8264,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-07-15,56,base,L,True,5.4896,5.1958,4.5627,4.6763,4.9015,5.181,5.4753,5.7367,5.8824,76.06,0.3086,0.182511,4.596761,False,True,True,0.5739,1.0603,1.3197,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-07-15,56,base,C,True,8.6077,9.4136,8.1367,8.4532,8.9336,9.3738,9.8291,10.4351,10.7962,13.56,0.766,0.48466,4.596761,False,True,True,0.8955,1.9819,2.6594,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-07-15,56,base,KD,True,6.3223,3.3057,2.86,2.9543,3.1143,3.2982,3.4901,3.6615,3.7623,100.0,3.0241,2.860023,4.596761,False,False,False,0.3758,0.7073,0.9023,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-07-15,56,base,S,True,28.261,24.8916,23.0842,23.5594,24.2163,24.8687,25.5722,26.2464,26.7062,99.78,3.3922,2.765523,4.596761,False,False,False,1.3559,2.687,3.622,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-07-15,56,base,V,True,8.0049,9.4877,8.6194,8.8201,9.1284,9.4758,9.8244,10.1709,10.4006,0.26,1.471,1.178917,4.596761,False,False,False,0.696,1.3509,1.7812,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-07-15,56,base,MP,True,4.4143,4.9038,4.2608,4.4199,4.6406,4.8851,5.1455,5.414,5.6145,9.76,0.4708,0.302547,4.596761,False,False,True,0.5048,0.9941,1.3537,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-07-15,56,base,SD,True,17.534,20.5634,18.3487,18.8492,19.6898,20.5444,21.3836,22.3177,22.9007,0.28,3.0104,2.294841,4.596761,False,False,False,1.6938,3.4684,4.5521,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-07-15,56,base,REST,False,1.5307,2.7113,2.2249,2.331,2.4956,2.6946,2.9062,3.1179,3.2651,0.0,1.164,1.005851,4.596761,False,False,False,0.4106,0.7869,1.0402,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-07-15,56,pp_centered_noise,M,True,19.8356,19.5257,15.7007,16.3715,18.0639,19.7687,21.0872,22.1072,22.6904,51.06,0.0669,0.516769,4.381731,True,True,True,3.0232,5.7358,6.9898,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-07-15,56,pp_centered_noise,L,True,5.4896,5.2024,3.9715,4.17,4.5293,5.0541,5.8891,6.4569,6.731,65.18,0.4355,0.295521,4.381731,True,True,True,1.3598,2.2869,2.7595,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-07-15,56,pp_centered_noise,C,True,8.6077,9.409,7.8549,8.2115,8.7351,9.3777,10.0506,10.6193,11.0568,20.16,0.7699,0.461617,4.381731,False,True,True,1.3155,2.4079,3.2019,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-07-15,56,pp_centered_noise,KD,True,6.3223,3.3054,2.6283,2.7618,3.0223,3.3149,3.5959,3.8246,3.9685,100.0,3.0074,2.786065,4.381731,False,False,False,0.5737,1.0628,1.3402,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-07-15,56,pp_centered_noise,S,True,28.261,24.8962,22.688,23.1734,23.8908,24.713,25.8595,26.9072,27.5019,98.54,3.548,2.563264,4.381731,False,False,False,1.9687,3.7338,4.8139,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-07-15,56,pp_centered_noise,V,True,8.0049,9.4786,8.0071,8.2898,8.819,9.55,10.1221,10.5561,10.8054,4.98,1.5452,1.005693,4.381731,False,False,False,1.3031,2.2663,2.7983,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-07-15,56,pp_centered_noise,MP,True,4.4143,4.8977,3.6244,3.8154,4.2248,4.9281,5.5446,5.9258,6.1348,32.4,0.5139,0.314875,4.381731,True,True,True,1.3199,2.1104,2.5104,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-07-15,56,pp_centered_noise,SD,True,17.534,20.5778,18.0156,18.5073,19.458,20.468,21.7194,22.7364,23.3122,2.3,2.934,2.140069,4.381731,False,False,False,2.2613,4.229,5.2965,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-07-15,56,pp_centered_noise,REST,False,1.5307,2.7071,2.052,2.159,2.4005,2.6985,3.002,3.2465,3.4076,0.0,1.1678,0.938275,4.381731,False,False,False,0.6015,1.0874,1.3556,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-07-15,56,pp_symmetric_noise,M,True,19.8356,19.5408,15.8159,16.6828,18.0231,19.4994,21.0414,22.4504,23.3156,55.94,0.3362,0.540158,4.274721,True,True,True,3.0183,5.7675,7.4997,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-07-15,56,pp_symmetric_noise,L,True,5.4896,5.1947,3.7506,3.9467,4.3939,5.1552,5.9953,6.4439,6.6589,58.68,0.3344,0.30091,4.274721,True,True,True,1.6013,2.4972,2.9084,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-07-15,56,pp_symmetric_noise,C,True,8.6077,9.4064,7.7636,8.0768,8.6538,9.3871,10.1078,10.7427,11.1652,23.44,0.7793,0.46653,4.274721,False,True,True,1.454,2.6659,3.4016,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
