origin_date,horizon_days,target_date,calendar_block_6m,es_arm_a_rc1,es_arm_b_equal,es_arm_c_precision,es_sens_c25,rel_es_improvement_precision,rel_es_improvement_equal,crps_arm_a_rc1,crps_arm_b_equal,crps_arm_c_precision,crps_sens_c25,rel_crps_improvement_precision,crps_rest_rc1,crps_rest_precision,n_eff_rc1,n_eff_precision
2025-10-29,84,2026-01-21,2025_H2,1.0339126460056818,1.0341242079897466,1.035305185658547,1.0348186557376753,-0.0013468639330846029,-0.00020462268730547884,0.2796251012484237,0.2796744062843437,0.27995597537522976,0.2798391220680608,-0.0011832776289711288,0.24358719853613742,0.2436767426902487,5.699803922012649,5.464762203036991
2025-10-29,112,2026-02-18,2025_H2,1.346685934667624,1.3467622451829606,1.3471946293436683,1.3470151962218413,-0.00037773816667191067,-5.666541349550352e-05,0.36235413287225665,0.36239059904978155,0.36259666770964605,0.36250879011808046,-0.0006693309538569527,0.2882633250826861,0.28797416073679494,5.699803922012649,5.464762203036991
2025-11-05,7,2025-11-12,2025_H2,0.32912002817868746,0.33007031359737016,0.33004883875167645,0.3297593329970535,-0.002822102860554926,-0.0028873521430508664,0.08436871603386507,0.08459110062930679,0.08458607827865397,0.0845183464078591,-0.0025763370003361007,0.11741186788366981,0.1177605114408084,5.736880644309582,5.696159747340798
2025-11-05,14,2025-11-19,2025_H2,0.38955992459487854,0.3903310292424377,0.3903135957212541,0.3900786071134458,-0.0019346731498610017,-0.001979424984130612,0.10276731718786761,0.10293843829822993,0.10293457079342595,0.102882416521423,-0.0016274980230591358,0.11219524514784285,0.11252006262891129,5.736880644309582,5.696159747340798
2025-11-05,28,2025-12-03,2025_H2,0.5893456070997625,0.5898165140489864,0.5898058589924835,0.5896622767417661,-0.0007809541416385257,-0.0007990336121131065,0.16092131736523604,0.161018670426782,0.1610164571905166,0.16098671208878557,-0.000591219527892787,0.17982516549924266,0.1799681296290888,5.736880644309582,5.696159747340798
2025-11-05,56,2025-12-31,2025_H2,0.8004620168538927,0.8007337845751303,0.8007276287440681,0.8006447057196684,-0.00033182322781451673,-0.00033951357530460924,0.20245525219599858,0.2025300073334415,0.20252831798396306,0.20250560598420847,-0.00036089845618698447,0.3445000137052809,0.34426021787127814,5.736880644309582,5.696159747340798
2025-11-05,84,2026-01-28,2025_H2,0.9943621537613594,0.9946426465782032,0.9946362965259343,0.9945507418716857,-0.0002756971024469709,-0.0002820831583169369,0.27944046539895506,0.27950327335207664,0.2795018466759013,0.27948261594567797,-0.000219657796728121,0.18231777239085212,0.18249898316963598,5.736880644309582,5.696159747340798
2025-11-05,112,2026-02-25,2025_H2,1.3852026138296183,1.3853145711481516,1.3853120334893303,1.3852778572826026,-7.899180857701261e-05,-8.082378521058551e-05,0.3797227706710621,0.37975555058554045,0.3797548073053265,0.37974475134332575,-8.43684833748983e-05,0.18585178777198685,0.1860383457325559,5.736880644309582,5.696159747340798
2025-11-12,7,2025-11-19,2025_H2,0.3441147140803985,0.3423087196556731,0.3434591708319008,0.3436885822032858,0.0019050137110514338,0.0052482336582197085,0.08806609237692964,0.08765389430880426,0.08791645386304722,0.08796881344557461,0.0016991615029533955,0.11475880397751864,0.11447371358815756,5.872247473501635,5.904164793889175
2025-11-12,14,2025-11-26,2025_H2,0.397888242517467,0.3963013593681398,0.39731208552924213,0.39751369615398835,0.0014480372291965683,0.003988263486467655,0.10314414695122374,0.10279727165807286,0.10301857876744683,0.10306256829548581,0.0012174048405897162,0.11258890079142453,0.11230683940019609,5.872247473501635,5.904164793889175
2025-11-12,28,2025-12-10,2025_H2,0.4939982042408797,0.4926687447281939,0.49351539840987746,0.49368432868685086,0.00097734329165055,0.002691223371406335,0.1312094035351442,0.1309364303239697,0.13110994497724704,0.13114480761224886,0.0007580139473046977,0.1312893594219367,0.13100535523802986,5.872247473501635,5.904164793889175
2025-11-12,56,2026-01-07,2025_H2,0.773659892540431,0.7730117040289768,0.7734241560731665,0.7735065944594708,0.0003047029703070356,0.000837821008564603,0.19450416661498998,0.1943047669627309,0.1944317921086035,0.19445712530469572,0.0003720974601522841,0.29105107345415526,0.2911251305620013,5.872247473501635,5.904164793889175
2025-11-12,84,2026-02-04,2025_H2,1.0677912769503441,1.0672714033032586,1.0676020887641866,1.06766823371091,0.0001771771227592998,0.00048686822818995196,0.29562453139187983,0.29552568342478364,0.29558876729389894,0.2956013274681395,0.00012097811305613869,0.1853575628040024,0.18515765643218746,5.872247473501635,5.904164793889175
2025-11-12,112,2026-03-04,2025_H2,1.521759999516484,1.5215680786514856,1.521690137204497,1.5217145601947744,4.590888971271495e-05,0.00012611769599641813,0.4144297203136228,0.41438292469371657,0.4144120006527221,0.4144182324752008,4.275673300477864e-05,0.20461707419992275,0.20445982942700824,5.872247473501635,5.904164793889175
2025-11-19,7,2025-11-26,2025_H2,0.3561648899917218,0.3564478750803487,0.36088454335355047,0.3592276663510431,-0.013251315596937041,-0.0007945339267817058,0.08761188151605347,0.08767904079894101,0.08873092772103097,0.0883387231933981,-0.012772767638513259,0.11398161048292316,0.1161163004518257,5.81739325410756,5.593781662110734
2025-11-19,14,2025-12-03,2025_H2,0.4247688393853035,0.42498011294447047,0.42830507511184523,0.4270606172792758,-0.00832508272419209,-0.0004973847880948317,0.10903834580589111,0.10908810148882753,0.10987452600797651,0.10958013596790206,-0.007668680186821202,0.1459543439596801,0.14748045466803517,5.81739325410756,5.593781662110734
2025-11-19,28,2025-12-17,2025_H2,0.4670865726496194,0.46731331627085315,0.470874521917388,0.46954321189573944,-0.008109737015733254,-0.0004854423880085501,0.11446409914867295,0.11451640469824864,0.11533716477523473,0.11503034018391983,-0.007627418841848308,0.1534887344450217,0.15508548274667683,5.81739325410756,5.593781662110734
2025-11-19,56,2026-01-14,2025_H2,0.8037085450594981,0.8038111385453766,0.8054318371636511,0.8048238980319258,-0.002144175416257933,-0.00012765011210736016,0.2082916981238684,0.2083151069541483,0.20868360846890055,0.2085450574540686,-0.0018815456811873174,0.2302040570513192,0.2309947878563683,5.81739325410756,5.593781662110734
2025-11-19,84,2026-02-11,2025_H2,1.1045255886103864,1.1045966480944034,1.105721891625922,1.105299214419032,-0.001083092169046628,-6.433484633559117e-05,0.30956009560461517,0.30957449347743327,0.30980918883119934,0.3097212036333261,-0.000804668399192923,0.15422307712383515,0.1555950478556532,5.81739325410756,5.593781662110734
2025-11-19,112,2026-03-11,2025_H2,1.7988339622963254,1.798836825787967,1.7988857779978038,1.7988665971077595,-2.880516076772309e-05,-1.5918598945757992e-06,0.4939602095242369,0.49397004471380646,0.49412461328700663,0.4940670578378926,-0.00033282794767631823,0.23850938181971776,0.23935508785622583,5.81739325410756,5.593781662110734
2025-11-26,7,2025-12-03,2025_H2,0.34571344417177663,0.34597781744512435,0.3500603904777799,0.3485347941136855,-0.012573842236356316,-0.0007647179414184341,0.08701240393563422,0.08707660631902048,0.08806944390227102,0.08769853785764017,-0.012148152663598621,0.13568298658554206,0.137082901327786,5.817393254107561,5.596992267222452
2025-11-26,14,2025-12-10,2025_H2,0.3610035875603014,0.3612910252004954,0.3657269751971548,0.36406992517768777,-0.01308404625221194,-0.0007962182374323285,0.09191108320252457,0.09197775156143204,0.09300519066371758,0.09262137876707352,-0.011903977442874473,0.1192247947902233,0.12125002170939114,5.817393254107561,5.596992267222452
2025-11-26,28,2025-12-24,2025_H2,0.4742687749517236,0.4744764887883459,0.47768930985146696,0.47648758303068717,-0.007212228762248888,-0.0004379665025247945,0.11569849838045769,0.11575330577570613,0.1166010168317244,0.11628454898650085,-0.007800606437422453,0.18988817729202379,0.19082269807275426,5.817393254107561,5.596992267222452
2025-11-26,56,2026-01-21,2025_H2,0.7814508841688155,0.7815773696273314,0.7835410473197437,0.7828049621628788,-0.0026747210775139563,-0.00016185976761730426,0.21438844024428325,0.2144130125262036,0.21479252800717627,0.21464997392632157,-0.0018848393245111037,0.16703861356393612,0.16877438581650628,5.817393254107561,5.596992267222452
2025-11-26,84,2026-02-18,2025_H2,1.2234453410243753,1.2234907320880692,1.2242012479941309,1.2239336372012888,-0.0006178510346221685,-3.710101479150624e-05,0.3428310934629014,0.34283992215204323,0.3429755795279269,0.34292468809235577,-0.00042144971031082807,0.19599826651051672,0.19736646406074781,5.817393254107561,5.596992267222452
2025-11-26,112,2026-03-18,2025_H2,1.8040425712738064,1.804046772401116,1.804116205087945,1.8040892521802707,-4.081600695625744e-05,-2.328729585700641e-06,0.4908696095632334,0.49087977068953975,0.4910394965222489,0.49097881630257756,-0.00034609386221047246,0.1767374447337448,0.17831470141140743,5.817393254107561,5.596992267222452
2025-12-03,7,2025-12-10,2025_H2,0.3611699364874573,0.36453719656850947,0.36083742367527105,0.36096025374312435,0.000920654735053833,-0.009323201465216875,0.09430933699171956,0.09501188908174311,0.09423962492261828,0.09426538529692638,0.0007391852315471222,0.12482532112140776,0.1246788384589364,6.081156632230687,6.098547652531431
2025-12-03,14,2025-12-17,2025_H2,0.4021083598022367,0.4052928645953061,0.40179403249125345,0.40191014195986374,0.0007816980257208119,-0.007919518993923952,0.10578873102402322,0.10646236045168579,0.10572223467580347,0.10574676702971947,0.0006285768585753937,0.1297416390790535,0.12957210278797848,6.081156632230687,6.098547652531431
