origin_date,horizon_days,target_date,calendar_block_6m,calendar_block_12m,pool_size,es_arm_a_v2,crps_arm_a_v2,es_arm_b_recent,crps_arm_b_recent,es_arm_c_50nn,crps_arm_c_50nn,es_arm_d_raw,crps_arm_d_raw,es_arm_c_25nn,crps_arm_c_25nn,es_arm_c_100nn,crps_arm_c_100nn,diff_es_v2_minus_50nn,diff_es_recent_minus_50nn,diff_es_50nn_minus_raw,diff_crps_v2_minus_50nn,diff_crps_recent_minus_50nn
2015-02-25,7,2015-03-04,2015-H1,2015,157,0.28916,0.07113,0.30832,0.08179,0.30889,0.08204,0.31229,0.08983,0.31423,0.08487,0.28969,0.07228,-0.01973,-0.00057,-0.0034,-0.01091,-0.00025
2015-02-25,14,2015-03-11,2015-H1,2015,150,0.60119,0.14003,0.67235,0.16158,0.66223,0.15883,0.67232,0.17897,0.69112,0.17001,0.60252,0.1406,-0.06104,0.01011,-0.01009,-0.0188,0.00275
2015-02-25,28,2015-03-25,2015-H1,2015,136,1.26246,0.28223,1.38873,0.31331,1.37102,0.30719,1.31459,0.32002,1.44655,0.33634,1.30644,0.29238,-0.10856,0.01771,0.05643,-0.02495,0.00613
2015-02-25,56,2015-04-22,2015-H1,2015,108,2.68957,0.5882,2.86513,0.59933,2.85487,0.635,3.61272,0.8343,2.95208,0.65957,2.82179,0.61859,-0.1653,0.01026,-0.75785,-0.0468,-0.03566
2015-02-25,84,2015-05-20,2015-H1,2015,80,3.25714,0.71611,3.35104,0.69372,3.37823,0.72827,5.37278,1.18698,3.42001,0.74629,3.3178,0.73145,-0.12109,-0.02719,-1.99456,-0.01216,-0.03455
2015-02-25,112,2015-06-17,2015-H1,2015,52,3.9685,0.82513,3.98349,0.82469,3.99015,0.82598,5.2094,1.09994,4.08224,0.83849,3.99213,0.82801,-0.02165,-0.00666,-1.21924,-0.00084,-0.00128
2015-03-04,7,2015-03-11,2015-H1,2015,164,0.34209,0.0785,0.34689,0.08041,0.34501,0.08005,0.26349,0.06789,0.33264,0.07723,0.34063,0.07683,-0.00292,0.00188,0.08152,-0.00155,0.00036
2015-03-04,14,2015-03-18,2015-H1,2015,157,0.57138,0.13321,0.61526,0.13992,0.61389,0.13923,0.4984,0.1192,0.60183,0.14014,0.57391,0.13081,-0.04251,0.00137,0.11549,-0.00602,0.00069
2015-03-04,28,2015-04-01,2015-H1,2015,143,1.36718,0.28829,1.51126,0.31499,1.48661,0.3073,1.33852,0.28597,1.52145,0.32365,1.40542,0.29449,-0.11943,0.02465,0.14809,-0.01901,0.00769
2015-03-04,56,2015-04-29,2015-H1,2015,115,2.50055,0.54738,2.62066,0.54115,2.56184,0.55127,3.2001,0.71457,2.69652,0.5839,2.55747,0.54886,-0.06128,0.05882,-0.63827,-0.00389,-0.01012
2015-03-04,84,2015-05-27,2015-H1,2015,87,3.00304,0.65808,3.11061,0.64343,3.0855,0.64255,4.77623,1.03317,3.06928,0.6477,3.0178,0.66508,-0.08246,0.02511,-1.69073,0.01553,0.00088
2015-03-04,112,2015-06-24,2015-H1,2015,59,3.79424,0.78347,3.86833,0.795,3.865,0.79559,5.04778,1.08466,3.91685,0.80574,3.80949,0.78903,-0.07076,0.00333,-1.18278,-0.01212,-0.00059
2015-03-11,7,2015-03-18,2015-H1,2015,171,0.26521,0.06543,0.26421,0.06425,0.25972,0.06448,0.15923,0.04124,0.25452,0.06058,0.26603,0.06474,0.00549,0.0045,0.10049,0.00095,-0.00023
2015-03-11,14,2015-03-25,2015-H1,2015,164,0.64763,0.1434,0.65316,0.14297,0.65469,0.14368,0.42203,0.09903,0.60939,0.13474,0.63125,0.13843,-0.00707,-0.00153,0.23266,-0.00027,-0.00071
2015-03-11,28,2015-04-08,2015-H1,2015,150,1.35031,0.29299,1.43568,0.31082,1.38703,0.30279,1.09188,0.24826,1.41724,0.31917,1.32764,0.28593,-0.03671,0.04866,0.29515,-0.0098,0.00803
2015-03-11,56,2015-05-06,2015-H1,2015,122,2.36002,0.52685,2.48785,0.52593,2.27785,0.50155,3.4965,0.80648,2.28924,0.51256,2.32434,0.4996,0.08217,0.21,-1.21865,0.0253,0.02437
2015-03-11,84,2015-06-03,2015-H1,2015,94,2.78283,0.59428,2.83526,0.59118,2.85811,0.57451,4.24417,0.90455,2.95022,0.58109,2.76629,0.60272,-0.07528,-0.02284,-1.38607,0.01978,0.01667
2015-03-11,112,2015-07-01,2015-H1,2015,66,3.56405,0.7358,3.6373,0.75368,3.63991,0.75668,4.58925,0.99443,3.68409,0.77635,3.54639,0.72956,-0.07586,-0.00261,-0.94934,-0.02088,-0.00301
2015-03-18,7,2015-03-25,2015-H1,2015,178,0.37445,0.07815,0.38098,0.07884,0.37781,0.07727,0.22404,0.04688,0.3408,0.07014,0.38707,0.08144,-0.00336,0.00317,0.15377,0.00088,0.00157
2015-03-18,14,2015-04-01,2015-H1,2015,171,0.76635,0.15578,0.78813,0.15488,0.76836,0.15204,0.51796,0.10177,0.71972,0.14332,0.77915,0.1582,-0.002,0.01977,0.2504,0.00374,0.00284
2015-03-18,28,2015-04-15,2015-H1,2015,157,1.49607,0.31178,1.55186,0.33027,1.48765,0.32269,1.40422,0.31283,1.40782,0.31362,1.49801,0.31543,0.00843,0.06421,0.08343,-0.01091,0.00758
2015-03-18,56,2015-05-13,2015-H1,2015,129,2.23236,0.49308,2.31047,0.52449,2.37309,0.50496,3.64743,0.80822,2.45261,0.5091,2.25625,0.48733,-0.14073,-0.06263,-1.27434,-0.01188,0.01953
2015-03-18,84,2015-06-10,2015-H1,2015,101,2.79112,0.59378,2.91723,0.63433,2.93522,0.57606,4.26948,0.87844,3.0433,0.59605,2.78844,0.58394,-0.14411,-0.01799,-1.33426,0.01772,0.05827
2015-03-18,112,2015-07-08,2015-H1,2015,73,3.56315,0.72686,3.64057,0.75744,3.63237,0.75588,4.10011,0.88884,3.70086,0.78046,3.57574,0.73013,-0.06923,0.0082,-0.46774,-0.02902,0.00155
2015-03-25,7,2015-04-01,2015-H1,2015,185,0.38085,0.07929,0.37114,0.07438,0.36109,0.07311,0.2189,0.04725,0.35622,0.07401,0.37948,0.07808,0.01976,0.01005,0.14219,0.00619,0.00128
2015-03-25,14,2015-04-08,2015-H1,2015,178,0.67598,0.15406,0.66621,0.15726,0.64411,0.15174,0.4075,0.09864,0.62343,0.14918,0.65154,0.15054,0.03188,0.0221,0.23661,0.00232,0.00552
2015-03-25,28,2015-04-22,2015-H1,2015,164,1.31957,0.29701,1.33182,0.30765,1.28591,0.29853,1.40589,0.33376,1.25497,0.29653,1.29085,0.29551,0.03366,0.04591,-0.11998,-0.00152,0.00912
2015-03-25,56,2015-05-20,2015-H1,2015,136,1.91771,0.43781,1.91349,0.46204,2.12948,0.45314,3.43591,0.7679,2.23887,0.45363,1.90587,0.42697,-0.21176,-0.21598,-1.30643,-0.01533,0.0089
2015-03-25,84,2015-06-17,2015-H1,2015,108,2.68753,0.56162,2.774,0.62731,2.88163,0.55284,3.88701,0.80247,2.98386,0.58103,2.70091,0.55836,-0.19411,-0.10763,-1.00537,0.00878,0.07447
2015-03-25,112,2015-07-15,2015-H1,2015,80,3.28369,0.68135,3.37498,0.7116,3.4129,0.71139,3.62303,0.7817,3.49559,0.73052,3.28946,0.68288,-0.12921,-0.03792,-0.21012,-0.03004,0.00021
2015-04-01,7,2015-04-08,2015-H1,2015,192,0.36239,0.09167,0.34692,0.0897,0.34135,0.08708,0.2427,0.05715,0.34786,0.0903,0.33971,0.08583,0.02104,0.00557,0.09865,0.00459,0.00262
2015-04-01,14,2015-04-15,2015-H1,2015,185,0.71758,0.17339,0.67929,0.17271,0.67305,0.16811,0.37795,0.09631,0.64315,0.16216,0.7147,0.1759,0.04452,0.00623,0.29511,0.00528,0.0046
2015-04-01,28,2015-04-29,2015-H1,2015,171,1.0963,0.2728,1.08015,0.28379,1.08177,0.27107,0.82876,0.20831,1.10821,0.27797,1.10078,0.27299,0.01453,-0.00163,0.25302,0.00173,0.01272
2015-04-01,56,2015-05-27,2015-H1,2015,143,1.63219,0.40392,1.70763,0.45308,1.90796,0.42011,2.71589,0.61564,2.00931,0.43396,1.72367,0.41131,-0.27577,-0.20033,-0.80793,-0.01619,0.03297
2015-04-01,84,2015-06-24,2015-H1,2015,115,2.43304,0.51395,2.51265,0.59145,2.69467,0.51127,3.50759,0.746,2.77631,0.52921,2.47574,0.5146,-0.26163,-0.18202,-0.81292,0.00268,0.08018
2015-04-01,112,2015-07-22,2015-H1,2015,87,3.01888,0.61621,3.09845,0.65129,3.19851,0.6479,3.27531,0.70391,3.2998,0.67045,3.01483,0.6145,-0.17962,-0.10006,-0.0768,-0.0317,0.00339
2015-04-08,7,2015-04-15,2015-H1,2015,199,0.46061,0.10462,0.46184,0.10956,0.44009,0.10349,0.27404,0.06699,0.4487,0.10907,0.43973,0.10119,0.02053,0.02175,0.16604,0.00113,0.00607
2015-04-08,14,2015-04-22,2015-H1,2015,192,0.67539,0.16225,0.64044,0.15855,0.63946,0.15372,0.47732,0.12251,0.62887,0.15676,0.65768,0.15738,0.03593,0.00098,0.16214,0.00853,0.00483
2015-04-08,28,2015-05-06,2015-H1,2015,178,0.95874,0.23185,0.98894,0.2473,0.98819,0.23094,0.97391,0.25193,1.01396,0.24321,0.95047,0.22791,-0.02945,0.00075,0.01428,0.00091,0.01637
2015-04-08,56,2015-06-03,2015-H1,2015,150,1.59029,0.37829,1.69423,0.42756,1.82423,0.37429,2.01674,0.44862,2.01543,0.3879,1.66961,0.37706,-0.23395,-0.13,-0.19251,0.004,0.05327
2015-04-08,84,2015-07-01,2015-H1,2015,122,2.33169,0.48771,2.38238,0.56583,2.52678,0.49254,3.05848,0.67328,2.67039,0.52774,2.38318,0.48956,-0.19509,-0.1444,-0.5317,-0.00484,0.07329
2015-04-08,112,2015-07-29,2015-H1,2015,94,3.07172,0.63123,3.15549,0.65901,3.21369,0.64547,2.82465,0.61523,3.30433,0.65124,3.08789,0.63508,-0.14198,-0.0582,0.38904,-0.01424,0.01354
2015-04-15,7,2015-04-22,2015-H1,2015,206,0.24329,0.0621,0.24249,0.06396,0.24433,0.06209,0.14316,0.03756,0.24826,0.06421,0.24517,0.06193,-0.00104,-0.00184,0.10117,1e-05,0.00187
2015-04-15,14,2015-04-29,2015-H1,2015,199,0.42978,0.1121,0.47359,0.12611,0.47202,0.11956,0.34937,0.08993,0.48372,0.12603,0.44743,0.11289,-0.04224,0.00157,0.12265,-0.00746,0.00655
2015-04-15,28,2015-05-13,2015-H1,2015,185,0.80882,0.2085,0.96095,0.24529,0.98415,0.22912,0.90612,0.22321,1.00415,0.24161,0.88764,0.21918,-0.17533,-0.02319,0.07802,-0.02062,0.01617
2015-04-15,56,2015-06-10,2015-H1,2015,157,1.60448,0.38343,1.80601,0.45668,1.78448,0.3653,1.92181,0.41045,1.99645,0.39055,1.67576,0.38212,-0.18,0.02153,-0.13733,0.01814,0.09138
2015-04-15,84,2015-07-08,2015-H1,2015,129,2.25213,0.4787,2.41173,0.57565,2.41757,0.47858,2.66099,0.59038,2.57031,0.51571,2.28443,0.47806,-0.16543,-0.00584,-0.24343,0.00012,0.09707
2015-04-15,112,2015-08-05,2015-H1,2015,101,3.25952,0.67109,3.40086,0.72066,3.41363,0.68298,2.84646,0.63377,3.50104,0.68295,3.26122,0.67259,-0.15411,-0.01277,0.56717,-0.01189,0.03768
2015-04-22,7,2015-04-29,2015-H1,2015,213,0.23235,0.06313,0.27478,0.07564,0.25835,0.0706,0.21389,0.05811,0.28312,0.07917,0.2521,0.06755,-0.026,0.01643,0.04447,-0.00747,0.00505
2015-04-22,14,2015-05-06,2015-H1,2015,206,0.39292,0.10161,0.48725,0.12664,0.45652,0.11345,0.38101,0.10005,0.51195,0.13006,0.4255,0.10756,-0.0636,0.03073,0.07551,-0.01185,0.01318
2015-04-22,28,2015-05-20,2015-H1,2015,192,0.77683,0.20567,0.99633,0.27055,0.944,0.22121,0.79095,0.18464,0.95742,0.23001,0.8597,0.21252,-0.16717,0.05232,0.15305,-0.01554,0.04934
2015-04-22,56,2015-06-17,2015-H1,2015,164,1.79713,0.41733,2.07203,0.49796,1.91791,0.40479,1.87714,0.41169,2.10428,0.43359,1.85447,0.41709,-0.12078,0.15412,0.04077,0.01254,0.09318
2015-04-22,84,2015-07-15,2015-H1,2015,136,2.37024,0.50218,2.60239,0.60671,2.5106,0.50077,2.33541,0.52098,2.64634,0.52474,2.40988,0.50712,-0.14036,0.09179,0.17519,0.00141,0.10594
2015-04-22,112,2015-08-12,2015-H1,2015,108,3.23189,0.65868,3.39585,0.73839,3.37548,0.66109,2.7229,0.60494,3.4474,0.67067,3.26862,0.66881,-0.14359,0.02037,0.65259,-0.00241,0.07731
2015-04-29,7,2015-05-06,2015-H1,2015,220,0.2054,0.05055,0.23655,0.05682,0.23295,0.05444,0.19587,0.0506,0.23133,0.05502,0.23062,0.05423,-0.02756,0.0036,0.03708,-0.00388,0.00238
2015-04-29,14,2015-05-13,2015-H1,2015,213,0.42183,0.11175,0.51809,0.1363,0.48837,0.12199,0.38528,0.10555,0.49637,0.12939,0.47159,0.11493,-0.06654,0.02973,0.10309,-0.01025,0.01431
2015-04-29,28,2015-05-27,2015-H1,2015,199,0.78793,0.21609,1.03615,0.28781,0.92381,0.23135,0.73324,0.17595,0.97124,0.25147,0.87767,0.23034,-0.13588,0.11234,0.19057,-0.01526,0.05646
2015-04-29,56,2015-06-24,2015-H1,2015,171,1.72493,0.38294,2.07029,0.47192,1.83932,0.38149,1.71671,0.37605,1.9933,0.40651,1.79796,0.39546,-0.1144,0.23097,0.12262,0.00144,0.09043
2015-04-29,84,2015-07-22,2015-H1,2015,143,2.27651,0.47424,2.6572,0.60743,2.3849,0.46149,2.09045,0.45026,2.473,0.47343,2.30254,0.47623,-0.10839,0.2723,0.29445,0.01275,0.14594
2015-04-29,112,2015-08-19,2015-H1,2015,115,3.09764,0.64117,3.3078,0.75044,3.22964,0.64398,2.41884,0.54916,3.28326,0.63912,3.13276,0.64981,-0.132,0.07815,0.8108,-0.00281,0.10646
2015-05-06,7,2015-05-13,2015-H1,2015,227,0.2716,0.07233,0.30025,0.08303,0.29377,0.08,0.24799,0.06869,0.28527,0.07639,0.28805,0.07664,-0.02217,0.00648,0.04578,-0.00767,0.00304
2015-05-06,14,2015-05-20,2015-H1,2015,220,0.43513,0.11577,0.5211,0.1396,0.49116,0.12855,0.45287,0.11925,0.47573,0.1278,0.47078,0.12171,-0.05603,0.02993,0.03829,-0.01278,0.01105
2015-05-06,28,2015-06-03,2015-H1,2015,206,0.86431,0.22445,1.11764,0.29267,0.96683,0.239,0.74946,0.18246,1.03653,0.27303,0.92702,0.23138,-0.10251,0.15081,0.21736,-0.01454,0.05367
