election_year,constituency_code,constituency_name,eligible_voters,valid_votes,turnout_rate
2022,06,Jönköpings län,271666,229125.0,0.843407
2022,07,Kronobergs län,147910,124992.0,0.845054
2022,08,Kalmar län,189781,161267.0,0.849753
2022,09,Gotlands län,48274,41459.0,0.858827
2022,10,Blekinge län,121789,103580.0,0.850487
2022,11,Malmö kommun,251172,192045.0,0.764596
2022,12,Skåne läns västra,236712,191683.0,0.809773
2022,13,Skåne läns södra,299809,259372.0,0.865124
2022,14,Skåne läns norra och östra,244489,202971.0,0.830185
2022,15,Hallands län,258794,221675.0,0.856569
2022,16,Göteborgs kommun,434273,347103.0,0.799274
2022,17,Västra Götalands läns västra,285927,247863.0,0.866875
2022,18,Västra Götalands läns norra,208144,173655.0,0.834302
2022,19,Västra Götalands läns södra,170107,141906.0,0.834216
2022,20,Västra Götalands läns östra,207560,176526.0,0.850482
2022,21,Värmlands län,216666,182237.0,0.841096
2022,22,Örebro län,232024,194190.0,0.836939
2022,23,Västmanlands län,208376,170749.0,0.819427
2022,24,Dalarnas län,221344,186599.0,0.843027
2022,25,Gävleborgs län,221395,182587.0,0.824711
2022,26,Västernorrlands län,188542,158723.0,0.841844
2022,27,Jämtlands län,101363,85024.0,0.838807
2022,28,Västerbottens län,209485,177543.0,0.847521
2022,29,Norrbottens län,193011,161456.0,0.836512
2026,01,Stockholms kommun,764889,,
2026,02,Stockholms län,1067172,,
2026,03,Uppsala län,309333,,
2026,04,Södermanlands län,229568,,
2026,05,Östergötlands län,367060,,
2026,06,Jönköpings län,279005,,
2026,07,Kronobergs län,151650,,
2026,08,Kalmar län,191083,,
2026,09,Gotlands län,48435,,
2026,10,Blekinge län,123298,,
2026,11,Malmö kommun,267820,,
2026,12,Skåne läns västra,246130,,
2026,13,Skåne läns södra,313023,,
2026,14,Skåne läns norra och östra,248742,,
2026,15,Hallands län,268009,,
2026,16,Göteborgs kommun,462708,,
2026,17,Västra Götalands läns västra,297167,,
2026,18,Västra Götalands läns norra,210138,,
2026,19,Västra Götalands läns södra,174136,,
2026,20,Västra Götalands läns östra,210051,,
2026,21,Värmlands län,219299,,
2026,22,Örebro län,238704,,
2026,23,Västmanlands län,213717,,
2026,24,Dalarnas län,223629,,
2026,25,Gävleborgs län,222290,,
2026,26,Västernorrlands län,189501,,
2026,27,Jämtlands län,103291,,
2026,28,Västerbottens län,213611,,
2026,29,Norrbottens län,193266,,
