seed,election_year,horizon_days,as_of,party,actual_seats,point_baseline_seats,mean_seats,median_seats,point_error,mean_error,median_error,crps,percentile,cov_50,width_50,cov_80,width_80,cov_90,width_90,p_largest,p_qualify,p_any_seats
12345,2022,56,2022-07-17,MP,18,15,11.18,16,3,6.82,2,2.986,83.6,False,17,True,19,True,19,0.0,0.6604,0.6604
12345,2022,56,2022-07-17,SD,73,63,64.2,64,10,8.8,9,5.5908,88.7,False,10,True,18,True,23,0.0,1.0,1.0
12345,2022,28,2022-08-14,M,68,65,65.15,67,3,2.85,1,1.5356,60.7,True,7,True,18,True,21,0.0,1.0,1.0
12345,2022,28,2022-08-14,L,16,19,18.96,19,3,2.96,3,1.8715,13.1,False,4,True,8,True,10,0.0,0.9752,0.9752
12345,2022,28,2022-08-14,C,24,23,23.18,23,1,0.82,1,0.7366,63.2,True,4,True,6,True,7,0.0,1.0,1.0
12345,2022,28,2022-08-14,KD,19,21,21.33,21,2,2.33,2,1.3625,17.2,False,3,True,6,True,8,0.0,0.9984,0.9984
12345,2022,28,2022-08-14,S,107,106,106.15,106,1,0.85,1,1.2376,56.6,True,7,True,12,True,15,1.0,1.0,1.0
12345,2022,28,2022-08-14,V,24,29,28.9,29,5,4.9,5,3.1559,4.7,False,6,False,8,True,10,0.0,1.0,1.0
12345,2022,28,2022-08-14,MP,18,18,17.43,19,0,0.57,1,0.8461,40.8,True,5,True,7,True,23,0.0,0.9222,0.9222
12345,2022,28,2022-08-14,SD,73,68,67.91,68,5,5.09,5,3.118,81.3,False,8,True,16,True,20,0.0,1.0,1.0
12345,2022,14,2022-08-28,M,68,65,65.1,67,3,2.9,1,1.4072,60.1,True,6,True,17,True,19,0.0,1.0,1.0
12345,2022,14,2022-08-28,L,16,18,17.64,18,2,1.64,2,1.1025,24.1,True,4,True,7,True,9,0.0,0.9626,0.9626
12345,2022,14,2022-08-28,C,24,24,23.83,23,0,0.17,1,0.6599,56.6,True,4,True,6,True,6,0.0,1.0,1.0
12345,2022,14,2022-08-28,KD,19,21,20.53,20,2,1.53,1,0.8763,23.9,True,3,True,5,True,7,0.0,1.0,1.0
12345,2022,14,2022-08-28,S,107,106,106.46,106,1,0.54,1,1.1153,54.9,True,7,True,10,True,12,1.0,1.0,1.0
12345,2022,14,2022-08-28,V,24,27,27.32,27,3,3.32,3,1.8434,15.3,False,5,True,7,True,9,0.0,1.0,1.0
12345,2022,14,2022-08-28,MP,18,18,17.72,19,0,0.28,1,0.8141,39.2,True,4,True,6,True,22,0.0,0.9476,0.9476
12345,2022,14,2022-08-28,SD,73,70,70.39,70,3,2.61,3,1.7898,71.7,True,7,True,15,True,19,0.0,1.0,1.0
12345,2022,7,2022-09-04,M,68,65,65.48,67,3,2.52,1,1.256,56.8,True,6,True,17,True,19,0.0,1.0,1.0
12345,2022,7,2022-09-04,L,16,17,16.13,17,1,0.13,1,0.8585,34.7,True,4,True,8,True,22,0.0,0.9086,0.9086
12345,2022,7,2022-09-04,C,24,24,23.8,23,0,0.2,1,0.6905,58.0,True,4,True,6,True,6,0.0,1.0,1.0
12345,2022,7,2022-09-04,KD,19,20,19.91,20,1,0.91,1,0.5905,32.9,True,2,True,4,True,6,0.0,1.0,1.0
12345,2022,7,2022-09-04,S,107,107,107.3,107,0,0.3,0,1.0357,48.0,True,6,True,9,True,11,1.0,1.0,1.0
12345,2022,7,2022-09-04,V,24,27,27.04,27,3,3.04,3,1.6324,20.4,True,6,True,8,True,8,0.0,1.0,1.0
12345,2022,7,2022-09-04,MP,18,18,17.76,19,0,0.24,1,0.8219,40.0,True,4,True,6,True,8,0.0,0.9506,0.9506
12345,2022,7,2022-09-04,SD,73,71,71.58,72,2,1.42,1,1.32,62.8,True,6,True,15,True,18,0.0,1.0,1.0
24680,2018,112,2018-05-20,M,70,80,82.98,83,10,12.98,13,7.7867,17.8,False,18,True,34,True,44,0.1694,1.0,1.0
24680,2018,112,2018-05-20,L,20,17,14.05,18,3,5.95,2,2.4902,73.0,True,20,True,22,True,23,0.0,0.7326,0.7326
