model,tier,target_year,seed,mask,parties,p_majority,certified_indicator,certified_coalition_seats,brier
CONTROL_pp_centered_noise,tier3_iso,2014,12345,153,M+KD+S+SD,1.0,1,262,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,154,L+KD+S+SD,1.0,1,197,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,155,M+L+KD+S+SD,1.0,1,281,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,156,C+KD+S+SD,1.0,1,200,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,157,M+C+KD+S+SD,1.0,1,284,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,158,L+C+KD+S+SD,1.0,1,219,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,159,M+L+C+KD+S+SD,1.0,1,303,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,160,V+SD,0.0,0,70,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,161,M+V+SD,0.0,0,154,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,162,L+V+SD,0.0,0,89,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,163,M+L+V+SD,0.0,0,173,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,164,C+V+SD,0.0,0,92,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,165,M+C+V+SD,0.0,1,176,1.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,166,L+C+V+SD,0.0,0,111,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,167,M+L+C+V+SD,1.0,1,195,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,168,KD+V+SD,0.0,0,86,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,169,M+KD+V+SD,0.0,0,170,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,170,L+KD+V+SD,0.0,0,105,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,171,M+L+KD+V+SD,1.0,1,189,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,172,C+KD+V+SD,0.0,0,108,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,173,M+C+KD+V+SD,0.6684,1,192,0.10995856000000001
CONTROL_pp_centered_noise,tier3_iso,2014,12345,174,L+C+KD+V+SD,0.0,0,127,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,175,M+L+C+KD+V+SD,1.0,1,211,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,176,S+V+SD,0.0,1,183,1.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,177,M+S+V+SD,1.0,1,267,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,178,L+S+V+SD,1.0,1,202,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,179,M+L+S+V+SD,1.0,1,286,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,180,C+S+V+SD,1.0,1,205,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,181,M+C+S+V+SD,1.0,1,289,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,182,L+C+S+V+SD,1.0,1,224,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,183,M+L+C+S+V+SD,1.0,1,308,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,184,KD+S+V+SD,1.0,1,199,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,185,M+KD+S+V+SD,1.0,1,283,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,186,L+KD+S+V+SD,1.0,1,218,0.0
