wave,survey_date,period,party_code_raw,party_raw,party,party_type,estimate_pct,margin_error_pp,value_status,source_table
2014M11,2014-11-01,2014-11,m,M,M,parliamentary_party,24.8,0.9,observed,ME/ME0201/ME0201A/Vid10
2014M11,2014-11-01,2014-11,mp,MP,MP,parliamentary_party,7.3,0.5,observed,ME/ME0201/ME0201A/Vid10
2014M11,2014-11-01,2014-11,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201A/Vid10
2014M11,2014-11-01,2014-11,s,S,S,parliamentary_party,31.9,0.9,observed,ME/ME0201/ME0201A/Vid10
2014M11,2014-11-01,2014-11,s+v+mp,S+V+MP,s+v+mp,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2014M11,2014-11-01,2014-11,socialistiskt block,socialistiskt block,socialistiskt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2014M11,2014-11-01,2014-11,v,V,V,parliamentary_party,5.8,0.5,observed,ME/ME0201/ME0201A/Vid10
2014M11,2014-11-01,2014-11,övr,övriga,OTHER,other_party,2.6,0.4,observed,ME/ME0201/ME0201A/Vid10
2015M05,2015-05-01,2015-05,SD,SD,SD,parliamentary_party,14.8,0.8,observed,ME/ME0201/ME0201A/Vid10
2015M05,2015-05-01,2015-05,borgerligt block,borgerligt block,borgerligt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2015M05,2015-05-01,2015-05,c,C,C,parliamentary_party,6.5,0.5,observed,ME/ME0201/ME0201A/Vid10
2015M05,2015-05-01,2015-05,c+fp+m+kd,C+L+M+KD,c+fp+m+kd,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2015M05,2015-05-01,2015-05,kd,KD,KD,parliamentary_party,3.8,0.4,observed,ME/ME0201/ME0201A/Vid10
2015M05,2015-05-01,2015-05,l,L,L,parliamentary_party,4.6,0.5,observed,ME/ME0201/ME0201A/Vid10
2015M05,2015-05-01,2015-05,m,M,M,parliamentary_party,26.2,0.9,observed,ME/ME0201/ME0201A/Vid10
2015M05,2015-05-01,2015-05,mp,MP,MP,parliamentary_party,6.7,0.6,observed,ME/ME0201/ME0201A/Vid10
2015M05,2015-05-01,2015-05,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201A/Vid10
2015M05,2015-05-01,2015-05,s,S,S,parliamentary_party,29.3,1.0,observed,ME/ME0201/ME0201A/Vid10
2015M05,2015-05-01,2015-05,s+v+mp,S+V+MP,s+v+mp,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2015M05,2015-05-01,2015-05,socialistiskt block,socialistiskt block,socialistiskt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2015M05,2015-05-01,2015-05,v,V,V,parliamentary_party,6.0,0.5,observed,ME/ME0201/ME0201A/Vid10
2015M05,2015-05-01,2015-05,övr,övriga,OTHER,other_party,2.1,0.3,observed,ME/ME0201/ME0201A/Vid10
2015M11,2015-11-01,2015-11,SD,SD,SD,parliamentary_party,19.6,1.0,observed,ME/ME0201/ME0201A/Vid10
2015M11,2015-11-01,2015-11,borgerligt block,borgerligt block,borgerligt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2015M11,2015-11-01,2015-11,c,C,C,parliamentary_party,6.5,0.5,observed,ME/ME0201/ME0201A/Vid10
2015M11,2015-11-01,2015-11,c+fp+m+kd,C+L+M+KD,c+fp+m+kd,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2015M11,2015-11-01,2015-11,kd,KD,KD,parliamentary_party,3.7,0.5,observed,ME/ME0201/ME0201A/Vid10
2015M11,2015-11-01,2015-11,l,L,L,parliamentary_party,5.5,0.6,observed,ME/ME0201/ME0201A/Vid10
2015M11,2015-11-01,2015-11,m,M,M,parliamentary_party,23.6,1.1,observed,ME/ME0201/ME0201A/Vid10
2015M11,2015-11-01,2015-11,mp,MP,MP,parliamentary_party,5.7,0.5,observed,ME/ME0201/ME0201A/Vid10
2015M11,2015-11-01,2015-11,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201A/Vid10
2015M11,2015-11-01,2015-11,s,S,S,parliamentary_party,27.8,1.1,observed,ME/ME0201/ME0201A/Vid10
2015M11,2015-11-01,2015-11,s+v+mp,S+V+MP,s+v+mp,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2015M11,2015-11-01,2015-11,socialistiskt block,socialistiskt block,socialistiskt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2015M11,2015-11-01,2015-11,v,V,V,parliamentary_party,5.7,0.5,observed,ME/ME0201/ME0201A/Vid10
2015M11,2015-11-01,2015-11,övr,övriga,OTHER,other_party,1.9,0.3,observed,ME/ME0201/ME0201A/Vid10
2016M05,2016-05-01,2016-05,SD,SD,SD,parliamentary_party,17.5,0.9,observed,ME/ME0201/ME0201A/Vid10
2016M05,2016-05-01,2016-05,borgerligt block,borgerligt block,borgerligt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2016M05,2016-05-01,2016-05,c,C,C,parliamentary_party,6.6,0.6,observed,ME/ME0201/ME0201A/Vid10
2016M05,2016-05-01,2016-05,c+fp+m+kd,C+L+M+KD,c+fp+m+kd,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2016M05,2016-05-01,2016-05,kd,KD,KD,parliamentary_party,3.2,0.4,observed,ME/ME0201/ME0201A/Vid10
2016M05,2016-05-01,2016-05,l,L,L,parliamentary_party,5.4,0.5,observed,ME/ME0201/ME0201A/Vid10
2016M05,2016-05-01,2016-05,m,M,M,parliamentary_party,25.7,1.1,observed,ME/ME0201/ME0201A/Vid10
2016M05,2016-05-01,2016-05,mp,MP,MP,parliamentary_party,4.8,0.6,observed,ME/ME0201/ME0201A/Vid10
