wave,survey_date,period,best_party_code_raw,best_party_raw,best_party,best_party_type,second_choice_code_raw,second_choice_raw,second_choice_party,second_choice_type,estimate_pct,margin_error_pp,value_status,source_table
2010M11,2010-11-01,2010-11,kd,KD,KD,parliamentary_party,inget parti,inget parti,NO_SECOND_CHOICE,no_second_choice,8.6,3.9,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,kd,KD,KD,parliamentary_party,kd,KD,KD,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,kd,KD,KD,parliamentary_party,l,L,L,parliamentary_party,19.7,5.6,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,kd,KD,KD,parliamentary_party,m,M,M,parliamentary_party,37.4,6.8,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,kd,KD,KD,parliamentary_party,mp,MP,MP,parliamentary_party,4.4,2.8,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,kd,KD,KD,parliamentary_party,s,S,S,parliamentary_party,5.3,3.2,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,kd,KD,KD,parliamentary_party,v,V,V,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,kd,KD,KD,parliamentary_party,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,7.8,4.3,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,kd,KD,KD,parliamentary_party,övr,övriga,OTHER,other_party,,,suppressed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,l,L,L,parliamentary_party,SD,SD,SD,parliamentary_party,,,suppressed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,l,L,L,parliamentary_party,c,C,C,parliamentary_party,10.6,3.3,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,l,L,L,parliamentary_party,inget parti,inget parti,NO_SECOND_CHOICE,no_second_choice,12.8,3.7,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,l,L,L,parliamentary_party,kd,KD,KD,parliamentary_party,7.5,2.7,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,l,L,L,parliamentary_party,l,L,L,parliamentary_party,0.0,0.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,l,L,L,parliamentary_party,m,M,M,parliamentary_party,46.8,5.2,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,l,L,L,parliamentary_party,mp,MP,MP,parliamentary_party,6.3,2.4,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,l,L,L,parliamentary_party,s,S,S,parliamentary_party,6.9,2.5,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,l,L,L,parliamentary_party,v,V,V,parliamentary_party,,,suppressed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,l,L,L,parliamentary_party,vet ej,vet ej/uppgift saknas,DONT_KNOW,dont_know,7.5,3.0,observed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,l,L,L,parliamentary_party,övr,övriga,OTHER,other_party,,,suppressed,ME/ME0201/ME0201D/Nastbastaparti190
2010M11,2010-11-01,2010-11,m,M,M,parliamentary_party,SD,SD,SD,parliamentary_party,3.8,1.1,observed,ME/ME0201/ME0201D/Nastbastaparti190
