wave,survey_date,period,kon_code_raw,alder_code_raw,party_code_raw,party_raw,party,party_type,estimate_pct,margin_error_pp,value_status,source_table
2013M11,2013-11-01,2013-11,TOT,tot18+,c,C,C,parliamentary_party,4.2,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2013M11,2013-11-01,2013-11,TOT,tot18+,kd,KD,KD,parliamentary_party,3.8,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2013M11,2013-11-01,2013-11,TOT,tot18+,l,L,L,parliamentary_party,5.6,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2013M11,2013-11-01,2013-11,TOT,tot18+,m,M,M,parliamentary_party,25.9,1.0,observed,ME/ME0201/ME0201B/Partisympati051
2013M11,2013-11-01,2013-11,TOT,tot18+,mp,MP,MP,parliamentary_party,8.5,0.7,observed,ME/ME0201/ME0201B/Partisympati051
2013M11,2013-11-01,2013-11,TOT,tot18+,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201B/Partisympati051
2013M11,2013-11-01,2013-11,TOT,tot18+,s,S,S,parliamentary_party,36.0,1.2,observed,ME/ME0201/ME0201B/Partisympati051
2013M11,2013-11-01,2013-11,TOT,tot18+,v,V,V,parliamentary_party,6.4,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2013M11,2013-11-01,2013-11,TOT,tot18+,övr,övriga,OTHER,other_party,1.5,0.4,observed,ME/ME0201/ME0201B/Partisympati051
2014M05,2014-05-01,2014-05,TOT,tot18+,SD,SD,SD,parliamentary_party,7.2,0.7,observed,ME/ME0201/ME0201B/Partisympati051
2014M05,2014-05-01,2014-05,TOT,tot18+,c,C,C,parliamentary_party,4.9,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2014M05,2014-05-01,2014-05,TOT,tot18+,kd,KD,KD,parliamentary_party,4.0,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2014M05,2014-05-01,2014-05,TOT,tot18+,l,L,L,parliamentary_party,5.3,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2014M05,2014-05-01,2014-05,TOT,tot18+,m,M,M,parliamentary_party,22.5,1.1,observed,ME/ME0201/ME0201B/Partisympati051
2014M05,2014-05-01,2014-05,TOT,tot18+,mp,MP,MP,parliamentary_party,8.2,0.8,observed,ME/ME0201/ME0201B/Partisympati051
2014M05,2014-05-01,2014-05,TOT,tot18+,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201B/Partisympati051
2014M05,2014-05-01,2014-05,TOT,tot18+,s,S,S,parliamentary_party,36.0,1.3,observed,ME/ME0201/ME0201B/Partisympati051
2014M05,2014-05-01,2014-05,TOT,tot18+,v,V,V,parliamentary_party,8.0,0.8,observed,ME/ME0201/ME0201B/Partisympati051
2014M05,2014-05-01,2014-05,TOT,tot18+,övr,övriga,OTHER,other_party,4.0,0.6,observed,ME/ME0201/ME0201B/Partisympati051
