election_date,election_year,origin_date,horizon_days,variant,party,is_parliamentary,actual,forecast_mean,p05,p10,p25,p50,p75,p90,p95,actual_percentile,absolute_error,crps,inside_50,inside_80,inside_90,width_50,width_80,width_90,training_elections_count,training_elections
2018-09-09,2018,2018-06-17,84,base,V,True,8.0049,9.1806,8.3052,8.4888,8.8103,9.1652,9.5292,9.8883,10.1209,1.08,1.1603,0.872344,False,False,False,0.7188,1.3994,1.8157,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,base,MP,True,4.4143,4.3992,3.713,3.889,4.1213,4.3803,4.6492,4.9348,5.1573,53.7,0.0339,0.094381,True,True,True,0.5279,1.0457,1.4443,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,base,SD,True,17.534,20.6999,17.8565,18.4909,19.5992,20.6499,21.6738,23.0855,23.8155,2.64,3.1159,2.234866,False,False,False,2.0746,4.5946,5.959,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,base,REST,False,1.5307,2.8156,2.2812,2.3941,2.5865,2.7962,3.0195,3.2502,3.4156,0.0,1.2655,1.093517,False,False,False,0.433,0.8561,1.1344,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,bias_only,M,True,19.8356,12.4789,10.0117,10.7266,11.4073,12.395,13.5051,14.2966,15.2938,100.0,7.4406,6.496124,False,False,False,2.0979,3.57,5.2821,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,bias_only,L,True,5.4896,2.8474,2.422,2.5063,2.6462,2.8295,3.0387,3.2113,3.321,100.0,2.6601,2.485227,False,False,False,0.3925,0.705,0.899,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,bias_only,C,True,8.6077,6.1992,5.0934,5.3906,5.7979,6.1658,6.5603,7.0338,7.447,99.7,2.442,2.029434,False,False,False,0.7624,1.6431,2.3536,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,bias_only,KD,True,6.3223,1.6772,1.4108,1.465,1.561,1.6704,1.7846,1.9016,1.9753,100.0,4.6519,4.550048,False,False,False,0.2236,0.4365,0.5645,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,bias_only,S,True,28.261,16.3888,14.305,14.819,15.6686,16.3596,17.0651,17.9898,18.5987,100.0,11.9014,11.195246,False,False,False,1.3965,3.1709,4.2937,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,bias_only,V,True,8.0049,5.053,4.4987,4.617,4.8286,5.0403,5.2703,5.4911,5.6341,100.0,2.9645,2.759947,False,False,False,0.4417,0.874,1.1354,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,bias_only,MP,True,4.4143,2.3894,1.9789,2.0835,2.2281,2.3757,2.5377,2.7066,2.8518,100.0,2.0385,1.883499,False,False,False,0.3096,0.6232,0.8728,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,bias_only,SD,True,17.534,51.4937,47.031,48.0781,49.8707,51.5016,53.0416,55.0441,56.0447,0.0,33.9677,32.519462,False,False,False,3.1709,6.9661,9.0137,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,bias_only,REST,False,1.5307,1.4725,1.1744,1.2366,1.3465,1.4596,1.5856,1.7175,1.8049,65.06,0.0711,0.052989,True,True,True,0.2392,0.4809,0.6305,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,noise_only,M,True,19.8356,19.4592,1.8836,2.0601,19.0797,24.066,25.997,27.7762,28.9069,26.04,4.2304,3.270541,True,True,True,6.9173,25.7161,27.0232,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,noise_only,L,True,5.4896,4.2785,0.6226,0.659,4.2569,5.1484,5.7016,6.165,6.4424,66.4,0.3412,0.474928,True,True,True,1.4447,5.506,5.8198,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,noise_only,C,True,8.6077,8.2462,1.1723,1.2567,7.1284,9.8894,11.0023,12.0089,12.649,30.18,1.2816,1.146242,True,True,True,3.8739,10.7522,11.4767,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,noise_only,KD,True,6.3223,2.7372,0.3275,0.352,2.7491,3.3537,3.6403,3.8979,4.0477,100.0,2.9686,2.892071,False,False,False,0.8912,3.5458,3.7203,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,noise_only,S,True,28.261,22.4634,2.9519,3.1144,24.8536,28.1255,29.311,30.3031,30.8804,52.54,0.1355,1.853626,True,True,True,4.4573,27.1887,27.9285,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,noise_only,V,True,8.0049,8.5213,0.9618,1.0163,8.9573,10.5859,11.3651,11.9341,12.2546,24.56,2.581,1.814771,False,True,True,2.4078,10.9178,11.2927,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,noise_only,MP,True,4.4143,3.8658,0.5361,0.5825,3.6276,4.6796,5.138,5.5336,5.7774,37.82,0.2654,0.410771,True,True,True,1.5104,4.9511,5.2412,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,noise_only,SD,True,17.534,27.7231,6.0736,6.3474,6.9115,7.6929,9.5123,90.589,90.985,75.44,9.841,9.892116,False,True,True,2.6008,84.2415,84.9113,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,noise_only,REST,False,1.5307,2.7052,0.2472,0.2725,2.5215,3.3013,3.644,3.9484,4.1798,24.56,1.7706,1.056147,False,True,True,1.1225,3.6758,3.9326,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,bias_plus_noise,M,True,19.8356,15.4912,0.4915,0.5385,15.1892,19.4011,21.2107,22.6406,23.7026,56.66,0.4345,1.68462,True,True,True,6.0214,22.102,23.211,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,bias_plus_noise,L,True,5.4896,3.2421,0.1565,0.1658,3.29,3.9888,4.4195,4.825,5.0905,99.1,1.5008,1.333346,False,False,False,1.1295,4.6592,4.934,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,bias_plus_noise,C,True,8.6077,7.0738,0.333,0.3582,6.3914,8.745,9.6381,10.4894,11.0395,46.2,0.1372,0.776444,True,True,True,3.2467,10.1312,10.7065,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,bias_plus_noise,KD,True,6.3223,1.9959,0.0787,0.0848,2.0398,2.4934,2.7159,2.92,3.0383,100.0,3.8289,3.771753,False,False,False,0.6761,2.8353,2.9596,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,bias_plus_noise,S,True,28.261,19.1521,0.8299,0.8775,21.2811,24.4789,25.6551,26.6682,27.2739,97.9,3.782,4.182361,False,False,False,4.374,25.7907,26.4439,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,bias_plus_noise,V,True,8.0049,6.1432,0.2278,0.2416,6.4932,7.7476,8.397,8.8436,9.084,58.56,0.2573,0.665996,True,True,True,1.9038,8.602,8.8562,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,bias_plus_noise,MP,True,4.4143,2.7333,0.1252,0.1364,2.6193,3.3896,3.7432,4.0346,4.2152,97.94,1.0247,0.921184,False,False,False,1.1239,3.8982,4.0899,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,bias_plus_noise,SD,True,17.534,42.3114,20.9223,21.6847,23.2835,25.3829,30.0122,97.51,97.621,0.0,7.8489,10.470721,False,False,False,6.7287,75.8253,76.6987,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,bias_plus_noise,REST,False,1.5307,1.857,0.0556,0.0614,1.7208,2.3031,2.5489,2.772,2.9274,24.6,0.7725,0.50836,False,True,True,0.828,2.7105,2.8718,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,base,M,True,19.8356,19.527,17.1761,17.8401,18.5563,19.492,20.4742,21.2368,22.0025,58.66,0.3436,0.367258,True,True,True,1.918,3.3967,4.8264,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,base,L,True,5.4896,5.1958,4.5627,4.6763,4.9015,5.181,5.4753,5.7367,5.8824,76.06,0.3086,0.182511,False,True,True,0.5739,1.0603,1.3197,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,base,C,True,8.6077,9.4136,8.1367,8.4532,8.9336,9.3738,9.8291,10.4351,10.7962,13.56,0.766,0.48466,False,True,True,0.8955,1.9819,2.6594,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,base,KD,True,6.3223,3.3057,2.86,2.9543,3.1143,3.2982,3.4901,3.6615,3.7623,100.0,3.0241,2.860023,False,False,False,0.3758,0.7073,0.9023,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,base,S,True,28.261,24.8916,23.0842,23.5594,24.2163,24.8687,25.5722,26.2464,26.7062,99.78,3.3922,2.765523,False,False,False,1.3559,2.687,3.622,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,base,V,True,8.0049,9.4877,8.6194,8.8201,9.1284,9.4758,9.8244,10.1709,10.4006,0.26,1.471,1.178917,False,False,False,0.696,1.3509,1.7812,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,base,MP,True,4.4143,4.9038,4.2608,4.4199,4.6406,4.8851,5.1455,5.414,5.6145,9.76,0.4708,0.302547,False,False,True,0.5048,0.9941,1.3537,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,base,SD,True,17.534,20.5634,18.3487,18.8492,19.6898,20.5444,21.3836,22.3177,22.9007,0.28,3.0104,2.294841,False,False,False,1.6938,3.4684,4.5521,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,base,REST,False,1.5307,2.7113,2.2249,2.331,2.4956,2.6946,2.9062,3.1179,3.2651,0.0,1.164,1.005851,False,False,False,0.4106,0.7869,1.0402,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-07-15,56,bias_only,M,True,19.8356,11.8903,10.1959,10.5994,11.1506,11.8508,12.5788,13.2027,13.7248,100.0,7.9848,7.336731,False,False,False,1.4282,2.6034,3.5289,4,"[2002, 2006, 2010, 2014]"
