tier,target_year,horizon_days,seed,mask,parties,p_majority,certified_indicator,certified_coalition_seats,brier
tier3,2018,112,12345,125,M+C+KD+S+V+MP,1.0,1,267,0.0
tier3,2018,112,12345,126,L+C+KD+S+V+MP,0.865,1,217,0.018225
tier3,2018,112,12345,127,M+L+C+KD+S+V+MP,1.0,1,287,0.0
tier3,2018,112,12345,128,SD,0.0,0,62,0.0
tier3,2018,112,12345,129,M+SD,0.135,0,132,0.018225
tier3,2018,112,12345,130,L+SD,0.0,0,82,0.0
tier3,2018,112,12345,131,M+L+SD,0.4228,0,152,0.17875984
tier3,2018,112,12345,132,C+SD,0.0,0,93,0.0
tier3,2018,112,12345,133,M+C+SD,0.9602,0,163,0.9219840400000001
tier3,2018,112,12345,134,L+C+SD,0.0,0,113,0.0
tier3,2018,112,12345,135,M+L+C+SD,1.0,1,183,0.0
tier3,2018,112,12345,136,KD+SD,0.0,0,84,0.0
tier3,2018,112,12345,137,M+KD+SD,0.1358,0,154,0.018441640000000002
tier3,2018,112,12345,138,L+KD+SD,0.0,0,104,0.0
tier3,2018,112,12345,139,M+L+KD+SD,0.42785,0,174,0.18305562250000001
tier3,2018,112,12345,140,C+KD+SD,0.0,0,115,0.0
tier3,2018,112,12345,141,M+C+KD+SD,0.9623,1,185,0.0014212899999999967
tier3,2018,112,12345,142,L+C+KD+SD,0.0,0,135,0.0
tier3,2018,112,12345,143,M+L+C+KD+SD,1.0,1,205,0.0
tier3,2018,112,12345,144,S+SD,0.42465,0,162,0.18032762250000003
tier3,2018,112,12345,145,M+S+SD,1.0,1,232,0.0
tier3,2018,112,12345,146,L+S+SD,0.85185,1,182,0.021948422500000002
tier3,2018,112,12345,147,M+L+S+SD,1.0,1,252,0.0
tier3,2018,112,12345,148,C+S+SD,0.99915,1,193,7.225000000000296e-07
tier3,2018,112,12345,149,M+C+S+SD,1.0,1,263,0.0
tier3,2018,112,12345,150,L+C+S+SD,1.0,1,213,0.0
tier3,2018,112,12345,151,M+L+C+S+SD,1.0,1,283,0.0
tier3,2018,112,12345,152,KD+S+SD,0.4309,1,184,0.32387480999999996
tier3,2018,112,12345,153,M+KD+S+SD,1.0,1,254,0.0
tier3,2018,112,12345,154,L+KD+S+SD,0.8519,1,204,0.021933610000000003
tier3,2018,112,12345,155,M+L+KD+S+SD,1.0,1,274,0.0
tier3,2018,112,12345,156,C+KD+S+SD,0.99915,1,215,7.225000000000296e-07
tier3,2018,112,12345,157,M+C+KD+S+SD,1.0,1,285,0.0
tier3,2018,112,12345,158,L+C+KD+S+SD,1.0,1,235,0.0
tier3,2018,112,12345,159,M+L+C+KD+S+SD,1.0,1,305,0.0
tier3,2018,112,12345,160,V+SD,0.0,0,90,0.0
tier3,2018,112,12345,161,M+V+SD,0.8245,0,160,0.67980025
tier3,2018,112,12345,162,L+V+SD,0.0,0,110,0.0
tier3,2018,112,12345,163,M+L+V+SD,0.99875,1,180,1.5624999999999334e-06
tier3,2018,112,12345,164,C+V+SD,0.00115,0,121,1.3225e-06
tier3,2018,112,12345,165,M+C+V+SD,1.0,1,191,0.0
tier3,2018,112,12345,166,L+C+V+SD,0.10265,0,141,0.010537022500000002
tier3,2018,112,12345,167,M+L+C+V+SD,1.0,1,211,0.0
tier3,2018,112,12345,168,KD+V+SD,0.0,0,112,0.0
tier3,2018,112,12345,169,M+KD+V+SD,0.82815,1,182,0.02953242249999998
tier3,2018,112,12345,170,L+KD+V+SD,0.0,0,132,0.0
tier3,2018,112,12345,171,M+L+KD+V+SD,0.99875,1,202,1.5624999999999334e-06
tier3,2018,112,12345,172,C+KD+V+SD,0.0012,0,143,1.4399999999999998e-06
tier3,2018,112,12345,173,M+C+KD+V+SD,1.0,1,213,0.0
tier3,2018,112,12345,174,L+C+KD+V+SD,0.1067,0,163,0.01138489
tier3,2018,112,12345,175,M+L+C+KD+V+SD,1.0,1,233,0.0
tier3,2018,112,12345,176,S+V+SD,1.0,1,190,0.0
tier3,2018,112,12345,177,M+S+V+SD,1.0,1,260,0.0
tier3,2018,112,12345,178,L+S+V+SD,1.0,1,210,0.0
tier3,2018,112,12345,179,M+L+S+V+SD,1.0,1,280,0.0
tier3,2018,112,12345,180,C+S+V+SD,1.0,1,221,0.0
tier3,2018,112,12345,181,M+C+S+V+SD,1.0,1,291,0.0
tier3,2018,112,12345,182,L+C+S+V+SD,1.0,1,241,0.0
tier3,2018,112,12345,183,M+L+C+S+V+SD,1.0,1,311,0.0
tier3,2018,112,12345,184,KD+S+V+SD,1.0,1,212,0.0
tier3,2018,112,12345,185,M+KD+S+V+SD,1.0,1,282,0.0
tier3,2018,112,12345,186,L+KD+S+V+SD,1.0,1,232,0.0
tier3,2018,112,12345,187,M+L+KD+S+V+SD,1.0,1,302,0.0
tier3,2018,112,12345,188,C+KD+S+V+SD,1.0,1,243,0.0
tier3,2018,112,12345,189,M+C+KD+S+V+SD,1.0,1,313,0.0
tier3,2018,112,12345,190,L+C+KD+S+V+SD,1.0,1,263,0.0
tier3,2018,112,12345,191,M+L+C+KD+S+V+SD,1.0,1,333,0.0
tier3,2018,112,12345,192,MP+SD,0.0,0,78,0.0
