origin,party,bitwise_identical,crps_campaign_paths,crps_dynamics_v2
2023-07-11,MP,True,0.12432245155170193,0.12432245155170193
2023-07-11,SD,True,0.16752646907013036,0.16752646907013036
2023-07-25,M,True,0.2290690551350173,0.2290690551350173
2023-07-25,L,True,0.036148014528725625,0.036148014528725625
2023-07-25,C,True,0.06859691757125069,0.06859691757125069
2023-07-25,KD,True,0.12759904138674813,0.12759904138674813
2023-07-25,S,True,0.26620612553309325,0.26620612553309325
2023-07-25,V,True,0.055129859982710944,0.055129859982710944
2023-07-25,MP,True,0.1253201534949484,0.1253201534949484
2023-07-25,SD,True,0.16345794584125461,0.16345794584125461
2023-08-08,M,True,0.2211130246167825,0.2211130246167825
2023-08-08,L,True,0.06239216263823111,0.06239216263823111
2023-08-08,C,True,0.12438115974131166,0.12438115974131166
2023-08-08,KD,True,0.12827945895332257,0.12827945895332257
2023-08-08,S,True,0.20780695062236154,0.20780695062236154
2023-08-08,V,True,0.05486176750494337,0.05486176750494337
2023-08-08,MP,True,0.11650507279489991,0.11650507279489991
2023-08-08,SD,True,0.2528518242394109,0.2528518242394109
2023-08-22,M,True,0.3731958358285638,0.3731958358285638
2023-08-22,L,True,0.1293472542455533,0.1293472542455533
2023-08-22,C,True,0.06005778239720143,0.06005778239720143
2023-08-22,KD,True,0.12154719191837518,0.12154719191837518
2023-08-22,S,True,0.17921825785807016,0.17921825785807016
2023-08-22,V,True,0.05566167304774325,0.05566167304774325
2023-08-22,MP,True,0.05048728527027152,0.05048728527027152
2023-08-22,SD,True,0.7949558283691935,0.7949558283691935
2023-09-05,M,True,0.44050118686280876,0.44050118686280876
2023-09-05,L,True,0.12132445139417053,0.12132445139417053
2023-09-05,C,True,0.040827990797455985,0.040827990797455985
2023-09-05,KD,True,0.1286020286435945,0.1286020286435945
2023-09-05,S,True,0.19953698556762067,0.19953698556762067
2023-09-05,V,True,0.07594079888781999,0.07594079888781999
2023-09-05,MP,True,0.07068186560386408,0.07068186560386408
2023-09-05,SD,True,1.1684929375472681,1.1684929375472681
2023-09-19,M,True,0.4674057313123442,0.4674057313123442
2023-09-19,L,True,0.12793496786882572,0.12793496786882572
2023-09-19,C,True,0.0641040123148824,0.0641040123148824
2023-09-19,KD,True,0.12185724793206261,0.12185724793206261
2023-09-19,S,True,0.18314202799497342,0.18314202799497342
2023-09-19,V,True,0.05344886755686867,0.05344886755686867
2023-09-19,MP,True,0.12219137364199936,0.12219137364199936
2023-09-19,SD,True,1.0572014032006267,1.0572014032006267
2023-10-03,M,True,0.3789171011905522,0.3789171011905522
2023-10-03,L,True,0.03342549256813396,0.03342549256813396
2023-10-03,C,True,0.12382213430813999,0.12382213430813999
2023-10-03,KD,True,0.040703007915408304,0.040703007915408304
