model,origin_date,target_date,horizon_days,split,party,is_parliamentary,point_forecast,predictive_mean,actual,error,absolute_error,squared_error,p05,p10,p25,p50,p75,p90,p95,interval50_contains_actual,interval80_contains_actual,interval90_contains_actual,width_50,width_80,width_90,crps,samples_count,seed,origin_estimate_date,origin_estimate_age_days
empirical_raw,2018-01-01,2018-02-26,56,Development,SD,True,16.9258,16.908,17.1,-0.1742,0.1742,0.030351,15.1808,15.6368,16.2855,16.9258,17.5241,18.3346,18.6602,1,1,1,1.2386,2.6977,3.4794,0.234902,5000,697096734,2018-01-01,0
empirical_raw,2018-01-01,2018-02-26,56,Development,REST,False,2.8232,2.8715,2.7,0.1232,0.1232,0.015169,2.4657,2.5966,2.7125,2.8232,2.9995,3.1993,3.3318,0,1,1,0.287,0.6028,0.8661,0.092865,5000,697096734,2018-01-01,0
empirical_raw,2018-01-01,2018-03-26,84,Development,M,True,22.5504,22.9021,22.7,-0.1496,0.1496,0.022387,19.2034,20.9807,21.4789,22.5504,23.9317,25.4748,28.2714,1,1,1,2.4528,4.494,9.068,0.450748,5000,1515614113,2018-01-01,0
empirical_raw,2018-01-01,2018-03-26,84,Development,L,True,4.8814,4.8645,4.6,0.2814,0.2814,0.079163,4.1814,4.2519,4.4952,4.8814,5.2438,5.4786,5.5841,1,1,1,0.7486,1.2267,1.4026,0.168639,5000,1515614113,2018-01-01,0
empirical_raw,2018-01-01,2018-03-26,84,Development,C,True,9.6697,9.8041,9.4,0.2697,0.2697,0.072735,7.8658,8.4789,9.0658,9.6697,10.339,11.2885,12.5274,1,1,1,1.2732,2.8096,4.6616,0.265498,5000,1515614113,2018-01-01,0
empirical_raw,2018-01-01,2018-03-26,84,Development,KD,True,2.9124,2.9465,3.4,-0.4876,0.4876,0.237797,2.6114,2.6872,2.8105,2.9124,3.0789,3.202,3.3017,0,0,0,0.2684,0.5148,0.6903,0.346525,5000,1515614113,2018-01-01,0
empirical_raw,2018-01-01,2018-03-26,84,Development,S,True,28.5323,28.2378,27.7,0.8323,0.8323,0.692718,25.3865,26.7191,27.4139,28.5323,29.0458,29.8242,29.987,1,1,1,1.6319,3.1052,4.6006,0.477684,5000,1515614113,2018-01-01,0
empirical_raw,2018-01-01,2018-03-26,84,Development,V,True,7.5695,7.5802,7.8,-0.2305,0.2305,0.053137,6.9991,7.1407,7.3711,7.5695,7.7848,8.0712,8.2365,0,1,1,0.4137,0.9305,1.2374,0.142677,5000,1515614113,2018-01-01,0
empirical_raw,2018-01-01,2018-03-26,84,Development,MP,True,3.8236,3.8166,3.9,-0.0764,0.0764,0.005832,3.221,3.3832,3.6338,3.8236,4.0481,4.2239,4.2903,1,1,1,0.4143,0.8406,1.0694,0.077161,5000,1515614113,2018-01-01,0
empirical_raw,2018-01-01,2018-03-26,84,Development,SD,True,17.1127,16.9841,17.2,-0.0873,0.0873,0.007614,14.5817,15.148,16.1772,17.1127,17.6514,19.0222,19.445,1,1,1,1.4742,3.8741,4.8633,0.294564,5000,1515614113,2018-01-01,0
empirical_raw,2018-01-01,2018-03-26,84,Development,REST,False,2.8127,2.8642,3.3,-0.4873,0.4873,0.237413,2.4765,2.5604,2.6947,2.8127,2.9874,3.2283,3.4147,0,0,1,0.2927,0.6679,0.9382,0.318551,5000,1515614113,2018-01-01,0
empirical_raw,2018-01-01,2018-04-23,112,Development,M,True,22.4031,22.8402,22.5,-0.0969,0.0969,0.00938,18.3752,19.6888,21.0092,22.4031,24.1129,25.6925,29.9988,1,1,1,3.1037,6.0037,11.6236,0.552183,5000,1003875504,2018-01-01,0
empirical_raw,2018-01-01,2018-04-23,112,Development,L,True,4.8274,4.8622,4.6,0.2274,0.2274,0.051733,3.9848,4.1779,4.5378,4.8274,5.2821,5.476,5.6595,1,1,1,0.7443,1.2982,1.6747,0.168453,5000,1003875504,2018-01-01,0
empirical_raw,2018-01-01,2018-04-23,112,Development,C,True,9.9107,9.9376,9.3,0.6107,0.6107,0.372958,7.6122,8.4447,8.9892,9.9107,10.5124,11.8667,13.2586,1,1,1,1.5232,3.4219,5.6464,0.386535,5000,1003875504,2018-01-01,0
empirical_raw,2018-01-01,2018-04-23,112,Development,KD,True,2.8943,2.9152,3.4,-0.5057,0.5057,0.255703,2.6107,2.6785,2.8057,2.8943,3.0358,3.2022,3.2709,0,0,0,0.2301,0.5236,0.6602,0.374395,5000,1003875504,2018-01-01,0
