model,origin_date,target_date,horizon_days,split,party,is_parliamentary,point_forecast,predictive_mean,actual,error,absolute_error,squared_error,p05,p10,p25,p50,p75,p90,p95,interval50_contains_actual,interval80_contains_actual,interval90_contains_actual,width_50,width_80,width_90,crps,samples_count,seed,origin_estimate_date,origin_estimate_age_days
no_change,2018-01-01,2018-04-23,112,Development,M,True,23.1848,23.1906,22.5,0.6848,0.6848,0.468945,22.5939,22.7288,22.9411,23.1848,23.4385,23.6698,23.7998,0,0,0,0.4974,0.9411,1.2059,0.492782,5000,480387179,2018-01-01,0
no_change,2018-01-01,2018-04-23,112,Development,L,True,4.899,4.8995,4.6,0.299,0.299,0.089387,4.6106,4.6716,4.7826,4.899,5.0162,5.1236,5.1944,0,0,0,0.2336,0.452,0.5838,0.206128,5000,480387179,2018-01-01,0
no_change,2018-01-01,2018-04-23,112,Development,C,True,9.3981,9.4013,9.3,0.0981,0.0981,0.009625,8.93,9.0336,9.2031,9.3981,9.5923,9.7772,9.8843,1,1,1,0.3893,0.7436,0.9542,0.080809,5000,480387179,2018-01-01,0
no_change,2018-01-01,2018-04-23,112,Development,KD,True,2.9999,3.004,3.4,-0.4001,0.4001,0.160099,2.7721,2.822,2.9022,2.9999,3.0984,3.1932,3.2545,0,0,0,0.1961,0.3712,0.4824,0.31435,5000,480387179,2018-01-01,0
no_change,2018-01-01,2018-04-23,112,Development,S,True,28.3954,28.3974,26.7,1.6954,1.6954,2.874314,27.6829,27.8325,28.1017,28.3954,28.6848,28.9656,29.1295,0,0,0,0.5831,1.1331,1.4465,1.451065,5000,480387179,2018-01-01,0
no_change,2018-01-01,2018-04-23,112,Development,V,True,7.4978,7.5026,8.0,-0.5022,0.5022,0.252215,7.1078,7.195,7.3356,7.4978,7.6685,7.8113,7.9068,0,0,0,0.3329,0.6163,0.799,0.36462,5000,480387179,2018-01-01,0
no_change,2018-01-01,2018-04-23,112,Development,MP,True,3.9994,4.0,4.1,-0.1006,0.1006,0.010116,3.72,3.7835,3.8842,3.9994,4.1132,4.22,4.2893,1,1,1,0.2291,0.4366,0.5693,0.063215,5000,480387179,2018-01-01,0
no_change,2018-01-01,2018-04-23,112,Development,SD,True,16.6978,16.7008,18.2,-1.5022,1.5022,2.256741,16.1526,16.2703,16.4728,16.6978,16.9219,17.1318,17.2517,0,0,0,0.4492,0.8615,1.0991,1.311309,5000,480387179,2018-01-01,0
no_change,2018-01-01,2018-04-23,112,Development,REST,False,2.9023,2.9038,3.2,-0.2977,0.2977,0.088619,2.5824,2.6516,2.7672,2.9023,3.0329,3.164,3.2425,0,0,1,0.2657,0.5124,0.6601,0.197645,5000,480387179,2018-01-01,0
no_change,2018-01-08,2018-01-15,7,Development,M,True,23.3929,23.3979,23.7,-0.3071,0.3071,0.094337,22.784,22.9144,23.1503,23.3929,23.6481,23.8714,24.0127,0,1,1,0.4979,0.957,1.2287,0.181292,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-01-15,7,Development,L,True,4.8972,4.8984,4.8,0.0972,0.0972,0.009448,4.6097,4.67,4.7785,4.8972,5.0185,5.1267,5.1959,1,1,1,0.24,0.4567,0.5862,0.061929,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-01-15,7,Development,C,True,9.2993,9.3052,9.2,0.0993,0.0993,0.00987,8.8283,8.9296,9.1071,9.2993,9.4994,9.6758,9.7926,1,1,1,0.3923,0.7462,0.9643,0.081807,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-01-15,7,Development,KD,True,2.9929,2.9979,3.0,-0.0071,0.0071,5e-05,2.7618,2.8152,2.9001,2.9929,3.0937,3.1824,3.2452,1,1,1,0.1936,0.3672,0.4833,0.033807,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-01-15,7,Development,S,True,28.2998,28.2974,28.2,0.0998,0.0998,0.009965,27.5688,27.7403,28.006,28.2998,28.5928,28.8548,29.0035,1,1,1,0.5868,1.1145,1.4347,0.111725,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-01-15,7,Development,V,True,7.5007,7.5007,7.5,0.0007,0.0007,1e-06,7.1074,7.19,7.3396,7.5007,7.6633,7.8069,7.8952,1,1,1,0.3237,0.6169,0.7878,0.056366,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-01-15,7,Development,MP,True,4.0985,4.1024,4.1,-0.0015,0.0015,2e-06,3.8151,3.8745,3.9784,4.0985,4.2234,4.3376,4.4009,1,1,1,0.245,0.4631,0.5859,0.042511,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-01-15,7,Development,SD,True,16.5858,16.5917,16.6,-0.0142,0.0142,0.000201,16.0347,16.1596,16.368,16.5858,16.824,17.0208,17.1513,1,1,1,0.4559,0.8612,1.1166,0.078572,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-01-15,7,Development,REST,False,2.9038,2.9084,2.9,0.0038,0.0038,1.4e-05,2.5833,2.6547,2.7764,2.9038,3.0356,3.167,3.2515,1,1,1,0.2592,0.5123,0.6682,0.045114,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-01-22,14,Development,M,True,23.3929,23.3979,23.8,-0.4071,0.4071,0.165766,22.784,22.9144,23.1503,23.3929,23.6481,23.8714,24.0127,0,1,1,0.4979,0.957,1.2287,0.246307,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-01-22,14,Development,L,True,4.8972,4.8984,4.8,0.0972,0.0972,0.009448,4.6097,4.67,4.7785,4.8972,5.0185,5.1267,5.1959,1,1,1,0.24,0.4567,0.5862,0.061929,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-01-22,14,Development,C,True,9.2993,9.3052,9.3,-0.0007,0.0007,0.0,8.8283,8.9296,9.1071,9.2993,9.4994,9.6758,9.7926,1,1,1,0.3923,0.7462,0.9643,0.068178,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-01-22,14,Development,KD,True,2.9929,2.9979,2.9,0.0929,0.0929,0.00863,2.7618,2.8152,2.9001,2.9929,3.0937,3.1824,3.2452,0,1,1,0.1936,0.3672,0.4833,0.057648,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-01-22,14,Development,S,True,28.2998,28.2974,28.1,0.1998,0.1998,0.03993,27.5688,27.7403,28.006,28.2998,28.5928,28.8548,29.0035,1,1,1,0.5868,1.1145,1.4347,0.138105,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-01-22,14,Development,V,True,7.5007,7.5007,7.6,-0.0993,0.0993,0.009852,7.1074,7.19,7.3396,7.5007,7.6633,7.8069,7.8952,1,1,1,0.3237,0.6169,0.7878,0.072373,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-01-22,14,Development,MP,True,4.0985,4.1024,4.0,0.0985,0.0985,0.009709,3.8151,3.8745,3.9784,4.0985,4.2234,4.3376,4.4009,1,1,1,0.245,0.4631,0.5859,0.062892,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-01-22,14,Development,SD,True,16.5858,16.5917,16.6,-0.0142,0.0142,0.000201,16.0347,16.1596,16.368,16.5858,16.824,17.0208,17.1513,1,1,1,0.4559,0.8612,1.1166,0.078572,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-01-22,14,Development,REST,False,2.9038,2.9084,2.9,0.0038,0.0038,1.4e-05,2.5833,2.6547,2.7764,2.9038,3.0356,3.167,3.2515,1,1,1,0.2592,0.5123,0.6682,0.045114,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-02-05,28,Development,M,True,23.3929,23.3979,23.5,-0.1071,0.1071,0.01148,22.784,22.9144,23.1503,23.3929,23.6481,23.8714,24.0127,1,1,1,0.4979,0.957,1.2287,0.098441,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-02-05,28,Development,L,True,4.8972,4.8984,4.8,0.0972,0.0972,0.009448,4.6097,4.67,4.7785,4.8972,5.0185,5.1267,5.1959,1,1,1,0.24,0.4567,0.5862,0.061929,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-02-05,28,Development,C,True,9.2993,9.3052,9.3,-0.0007,0.0007,0.0,8.8283,8.9296,9.1071,9.2993,9.4994,9.6758,9.7926,1,1,1,0.3923,0.7462,0.9643,0.068178,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-02-05,28,Development,KD,True,2.9929,2.9979,3.0,-0.0071,0.0071,5e-05,2.7618,2.8152,2.9001,2.9929,3.0937,3.1824,3.2452,1,1,1,0.1936,0.3672,0.4833,0.033807,5000,115732927,2018-01-08,0
no_change,2018-01-08,2018-02-05,28,Development,S,True,28.2998,28.2974,28.0,0.2998,0.2998,0.089895,27.5688,27.7403,28.006,28.2998,28.5928,28.8548,29.0035,0,1,1,0.5868,1.1145,1.4347,0.180749,5000,115732927,2018-01-08,0
