model,origin_date,target_date,horizon_days,party,point_forecast,predictive_mean,actual,error,absolute_error,squared_error,p05,p10,p25,p50,p75,p90,p95,interval50_contains_actual,interval80_contains_actual,interval90_contains_actual,width_50,width_80,width_90,crps,samples_count,seed,origin_estimate_date,origin_estimate_age_days
no_change,2026-01-08,2026-01-22,14,MP,5.6943,5.6996,5.7,-0.0057,0.0057,3.2e-05,5.1638,5.2734,5.4778,5.6943,5.919,6.1201,6.2529,1,1,1,0.4412,0.8467,1.0891,0.077395,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-01-22,14,SD,21.4883,21.4821,21.5,-0.0117,0.0117,0.000136,20.7636,20.9201,21.1862,21.4883,21.7814,22.0362,22.2045,1,1,1,0.5952,1.1161,1.4409,0.101376,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-01-22,14,REST,2.0996,2.1799,1.8,0.2996,0.2996,0.089742,1.328,1.4613,1.7305,2.0996,2.5331,2.9944,3.3416,1,1,1,0.8026,1.5331,2.0136,0.199965,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-02-05,28,M,17.877,17.8758,17.9,-0.023,0.023,0.000529,17.2938,17.4175,17.6395,17.877,18.115,18.3247,18.4533,1,1,1,0.4755,0.9072,1.1595,0.084067,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-02-05,28,L,1.9974,2.0,1.9,0.0974,0.0974,0.009487,1.8216,1.8606,1.9212,1.9974,2.0747,2.1459,2.1868,0,1,1,0.1535,0.2853,0.3652,0.058139,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-02-05,28,C,4.7958,4.7976,5.3,-0.5042,0.5042,0.254262,4.472,4.5478,4.6614,4.7958,4.93,5.05,5.1297,0,0,0,0.2685,0.5022,0.6577,0.390896,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-02-05,28,KD,4.1985,4.2043,4.3,-0.1015,0.1015,0.010309,3.8781,3.9497,4.0697,4.1985,4.3378,4.4613,4.5395,1,1,1,0.268,0.5116,0.6615,0.065953,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-02-05,28,S,34.4701,34.4684,34.2,0.2701,0.2701,0.072951,33.6197,33.8124,34.1174,34.4701,34.8217,35.132,35.303,1,1,1,0.7043,1.3196,1.6833,0.175543,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-02-05,28,V,7.2881,7.2923,7.7,-0.4119,0.4119,0.169624,6.9231,7.0063,7.1398,7.2881,7.4475,7.5863,7.6737,0,0,0,0.3076,0.58,0.7506,0.286681,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-02-05,28,MP,5.6943,5.6996,5.5,0.1943,0.1943,0.037756,5.1638,5.2734,5.4778,5.6943,5.919,6.1201,6.2529,1,1,1,0.4412,0.8467,1.0891,0.12119,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-02-05,28,SD,21.4883,21.4821,21.3,0.1883,0.1883,0.035467,20.7636,20.9201,21.1862,21.4883,21.7814,22.0362,22.2045,1,1,1,0.5952,1.1161,1.4409,0.132586,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-02-05,28,REST,2.0996,2.1799,1.9,0.1996,0.1996,0.039828,1.328,1.4613,1.7305,2.0996,2.5331,2.9944,3.3416,1,1,1,0.8026,1.5331,2.0136,0.166327,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-03-05,56,M,17.877,17.8758,17.7,0.177,0.177,0.031327,17.2938,17.4175,17.6395,17.877,18.115,18.3247,18.4533,1,1,1,0.4755,0.9072,1.1595,0.116418,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-03-05,56,L,1.9974,2.0,2.1,-0.1026,0.1026,0.010527,1.8216,1.8606,1.9212,1.9974,2.0747,2.1459,2.1868,0,1,1,0.1535,0.2853,0.3652,0.060604,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-03-05,56,C,4.7958,4.7976,5.8,-1.0042,1.0042,1.008507,4.472,4.5478,4.6614,4.7958,4.93,5.05,5.1297,0,0,0,0.2685,0.5022,0.6577,0.889993,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-03-05,56,KD,4.1985,4.2043,4.6,-0.4015,0.4015,0.161228,3.8781,3.9497,4.0697,4.1985,4.3378,4.4613,4.5395,0,0,0,0.268,0.5116,0.6615,0.286687,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-03-05,56,S,34.4701,34.4684,33.4,1.0701,1.0701,1.145104,33.6197,33.8124,34.1174,34.4701,34.8217,35.132,35.303,0,0,0,0.7043,1.3196,1.6833,0.783907,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-03-05,56,V,7.2881,7.2923,7.8,-0.5119,0.5119,0.261995,6.9231,7.0063,7.1398,7.2881,7.4475,7.5863,7.6737,0,0,0,0.3076,0.58,0.7506,0.381552,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-03-05,56,MP,5.6943,5.6996,5.7,-0.0057,0.0057,3.2e-05,5.1638,5.2734,5.4778,5.6943,5.919,6.1201,6.2529,1,1,1,0.4412,0.8467,1.0891,0.077395,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-03-05,56,SD,21.4883,21.4821,20.9,0.5883,0.5883,0.34613,20.7636,20.9201,21.1862,21.4883,21.7814,22.0362,22.2045,0,0,1,0.5952,1.1161,1.4409,0.374953,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-03-05,56,REST,2.0996,2.1799,2.0,0.0996,0.0996,0.009914,1.328,1.4613,1.7305,2.0996,2.5331,2.9944,3.3416,1,1,1,0.8026,1.5331,2.0136,0.146505,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-04-02,84,M,17.877,17.8758,17.9,-0.023,0.023,0.000529,17.2938,17.4175,17.6395,17.877,18.115,18.3247,18.4533,1,1,1,0.4755,0.9072,1.1595,0.084067,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-04-02,84,L,1.9974,2.0,2.5,-0.5026,0.5026,0.252606,1.8216,1.8606,1.9212,1.9974,2.0747,2.1459,2.1868,0,0,0,0.1535,0.2853,0.3652,0.436807,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-04-02,84,C,4.7958,4.7976,6.2,-1.4042,1.4042,1.971902,4.472,4.5478,4.6614,4.7958,4.93,5.05,5.1297,0,0,0,0.2685,0.5022,0.6577,1.289993,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-04-02,84,KD,4.1985,4.2043,4.9,-0.7015,0.7015,0.492146,3.8781,3.9497,4.0697,4.1985,4.3378,4.4613,4.5395,0,0,0,0.268,0.5116,0.6615,0.581841,5000,1935180223,2026-01-08,0
