forecast_cases,N,MAE,RMSE,mean_CRPS_8parties,mean_CRPS_all9,REST_CRPS,coverage_50,coverage_80,coverage_90,mean_width_50,mean_width_80,mean_width_90,model,year_block,horizon_days
53,477,0.3924542976939203,0.5490011245897758,0.30455605660377355,0.2905513752620545,0.1785139245283019,0.5911949685534591,0.8511530398322851,0.9412997903563941,0.7975553459119497,1.6139006289308175,2.247396016771489,empirical_raw,2024,56
53,477,0.5227836477987422,0.730111661142218,0.40646906132075467,0.38092627882599583,0.17658401886792455,0.5974842767295597,0.8406708595387841,0.9454926624737946,1.0888557651991615,2.21503857442348,3.0519224318658282,empirical_raw,2024,84
53,477,0.6042798742138364,0.8579121259971292,0.47801988443396226,0.44296364150943396,0.16251369811320754,0.5953878406708596,0.8742138364779874,0.9454926624737946,1.302741719077568,2.7208012578616354,3.674193710691824,empirical_raw,2024,112
52,468,0.07383461538461539,0.1083614559158612,0.05468949759615385,0.058182957264957265,0.08613063461538463,0.5918803418803419,0.8076923076923077,0.9081196581196581,0.14957457264957266,0.306381623931624,0.41263440170940174,empirical_raw,2025,7
52,468,0.11514615384615384,0.15785105361765922,0.08640857211538461,0.08815773931623933,0.10215107692307691,0.5662393162393162,0.8247863247863247,0.9401709401709402,0.26096538461538465,0.4987431623931624,0.6914388888888888,empirical_raw,2025,14
52,468,0.18812692307692305,0.2514034070511437,0.14643511057692307,0.14404170085470086,0.12489442307692308,0.594017094017094,0.8739316239316239,0.9487179487179487,0.4272974358974359,0.8790621794871795,1.21743141025641,empirical_raw,2025,28
52,468,0.3136294871794872,0.4211664307529298,0.25344026201923076,0.24650673076923077,0.19103848076923075,0.594017094017094,0.8739316239316239,0.9529914529914529,0.7712393162393161,1.5635831196581198,2.19304358974359,empirical_raw,2025,56
52,468,0.4136166666666667,0.5560369403734153,0.34117137980769235,0.3272216965811966,0.21562423076923073,0.5662393162393162,0.8803418803418803,0.9551282051282052,1.0423365384615386,2.1358555555555556,2.975191025641026,empirical_raw,2025,84
52,468,0.514637606837607,0.6830985243850949,0.41901349519230763,0.3978131816239316,0.22821067307692305,0.5341880341880342,0.8782051282051282,0.9551282051282052,1.2537764957264956,2.5927839743589742,3.6017061965811967,empirical_raw,2025,112
32,288,0.08461597222222222,0.1122047205136912,0.06113007031249999,0.06341282291666667,0.08167484374999999,0.4826388888888889,0.8298611111111112,0.8854166666666666,0.15443020833333335,0.3166409722222222,0.42112638888888887,empirical_raw,2026 YTD,7
31,279,0.14204193548387098,0.1822533094821718,0.10863509677419354,0.10667838709677419,0.09102470967741938,0.48028673835125446,0.7491039426523297,0.899641577060932,0.26632365591397855,0.5077964157706093,0.7032910394265234,empirical_raw,2026 YTD,14
29,261,0.26286704980842907,0.3242368582223265,0.20315341810344825,0.1905006590038314,0.08927858620689656,0.39846743295019155,0.7701149425287356,0.9003831417624522,0.42644022988505753,0.8895279693486591,1.2414295019157089,empirical_raw,2026 YTD,28
25,225,0.5006631111111112,0.6214020848944032,0.380372815,0.3507282133333333,0.11357140000000002,0.3511111111111111,0.7422222222222222,0.8933333333333333,0.7730746666666667,1.5720560000000003,2.213054666666667,empirical_raw,2026 YTD,56
21,189,0.6928481481481481,0.860127168523205,0.5230462857142857,0.4771788783068784,0.11023961904761907,0.36507936507936506,0.6878306878306878,0.9312169312169312,1.0395629629629628,2.1032359788359787,2.980777248677249,empirical_raw,2026 YTD,84
