window_days,election_year,election_date,party,final_poll_consensus_pct,actual_result_pct,residual_pp,distance_from_4_pp,passed_4pct,threshold_band,party_pollster_count,party_eligible_poll_count,episode_quality
21,2010,2010-09-19,M,29.7468,30.0611,0.3143,25.7468,True,>=6,8,34,HIGH
21,2010,2010-09-19,MP,8.6655,7.339,-1.3265,4.6655,True,>=6,8,34,HIGH
21,2010,2010-09-19,S,29.279,30.6606,1.3816,25.279,True,>=6,8,34,HIGH
21,2010,2010-09-19,SD,5.1817,5.6978,0.5161,1.1817,True,5–6,8,34,HIGH
21,2010,2010-09-19,V,5.8334,5.6045,-0.2289,1.8334,True,5–6,8,34,HIGH
21,2014,2014-09-14,C,6.2698,6.113,-0.1568,2.2698,True,>=6,9,27,HIGH
21,2014,2014-09-14,FI,3.7195,3.1247,-0.5948,-0.2805,False,3.5–4,9,27,HIGH
21,2014,2014-09-14,KD,5.2054,4.5704,-0.635,1.2054,True,5–6,9,27,HIGH
21,2014,2014-09-14,L,6.2894,5.4203,-0.8691,2.2894,True,>=6,9,27,HIGH
21,2014,2014-09-14,M,21.9586,23.325,1.3664,17.9586,True,>=6,9,27,HIGH
21,2014,2014-09-14,MP,8.8075,6.8887,-1.9188,4.8075,True,>=6,9,27,HIGH
21,2014,2014-09-14,S,29.9124,31.0148,1.1024,25.9124,True,>=6,9,27,HIGH
21,2014,2014-09-14,SD,9.9722,12.8568,2.8846,5.9722,True,>=6,9,27,HIGH
21,2014,2014-09-14,V,6.8439,5.7182,-1.1257,2.8439,True,>=6,9,27,HIGH
21,2018,2018-09-09,C,8.5294,8.6077,0.0783,4.5294,True,>=6,10,40,HIGH
21,2018,2018-09-09,FI,1.0152,0.458,-0.5572,-2.9848,False,<2,4,26,MEDIUM
21,2018,2018-09-09,KD,6.0747,6.3223,0.2476,2.0747,True,>=6,10,40,HIGH
21,2018,2018-09-09,L,5.9566,5.4896,-0.467,1.9566,True,5–6,10,40,HIGH
21,2018,2018-09-09,M,17.7732,19.8356,2.0624,13.7732,True,>=6,10,40,HIGH
21,2018,2018-09-09,MP,4.9823,4.4143,-0.568,0.9823,True,4.5–5,10,40,HIGH
21,2018,2018-09-09,S,25.096,28.261,3.165,21.096,True,>=6,10,40,HIGH
21,2018,2018-09-09,SD,18.5856,17.534,-1.0516,14.5856,True,>=6,10,40,HIGH
21,2018,2018-09-09,V,9.8775,8.0049,-1.8726,5.8775,True,>=6,10,40,HIGH
21,2022,2022-09-11,C,7.4334,6.7142,-0.7192,3.4334,True,>=6,8,70,HIGH
21,2022,2022-09-11,FI,0.3,0.0487,-0.2513,-3.7,False,<2,1,1,LOW
21,2022,2022-09-11,KD,5.6681,5.3367,-0.3314,1.6681,True,5–6,8,70,HIGH
21,2022,2022-09-11,L,4.8795,4.6086,-0.2709,0.8795,True,4.5–5,8,70,HIGH
21,2022,2022-09-11,M,17.6791,19.1021,1.423,13.6791,True,>=6,8,70,HIGH
21,2022,2022-09-11,MP,5.5599,5.0825,-0.4774,1.5599,True,5–6,8,70,HIGH
21,2022,2022-09-11,S,28.8264,30.3255,1.4991,24.8264,True,>=6,8,70,HIGH
21,2022,2022-09-11,SD,20.9928,20.5361,-0.4567,16.9928,True,>=6,8,70,HIGH
21,2022,2022-09-11,V,7.6637,6.7467,-0.917,3.6637,True,>=6,8,70,HIGH
