election_year,election_date,party,party_raw,final_poll_consensus_pct,actual_result_pct,votes,valid_votes_total,residual_pp,distance_from_4_pp,passed_4pct,forecast_side,actual_side,quadrant,threshold_crossing_distance_pp,threshold_band,party_eligible_poll_count,party_contributing_poll_count,party_pollster_count,party_sample_size_coverage,election_poll_count,election_pollster_count,consensus_window_days,metadata_quality,episode_quality,source_notes
2006,2006-09-17,L,Folkpartiet liberalerna,8.5001,7.5369,418395,5551278,-0.9632,4.5001,True,True,True,above_to_above,-0.9632,>=6,25,5,5,0.8,25,5,14,COMPLETE,HIGH,"Multi-house consensus (25 polls, 5 pollsters)."
2006,2006-09-17,M,Moderata Samlingspartiet,26.4172,26.2284,1456014,5551278,-0.1888,22.4172,True,True,True,above_to_above,-0.1888,>=6,25,5,5,0.8,25,5,14,COMPLETE,HIGH,"Multi-house consensus (25 polls, 5 pollsters)."
2006,2006-09-17,MP,Miljöpartiet de gröna,5.779,5.2442,291121,5551278,-0.5348,1.779,True,True,True,above_to_above,-0.5348,5–6,25,5,5,0.8,25,5,14,COMPLETE,HIGH,"Multi-house consensus (25 polls, 5 pollsters)."
2006,2006-09-17,S,Arbetarepartiet-Socialdemokraterna,33.8293,34.9942,1942625,5551278,1.1649,29.8293,True,True,True,above_to_above,1.1649,>=6,25,5,5,0.8,25,5,14,COMPLETE,HIGH,"Multi-house consensus (25 polls, 5 pollsters)."
2006,2006-09-17,SD,Sverigedemokraterna,2.0393,2.9266,162463,5551278,0.8873,-1.9607,False,False,False,below_to_below,-0.8873,2–3,6,2,2,1.0,25,5,14,COMPLETE,MEDIUM,"Multi-house consensus (25 polls, 5 pollsters)."
2006,2006-09-17,V,Vänsterpartiet,5.9277,5.8495,324722,5551278,-0.0782,1.9277,True,True,True,above_to_above,-0.0782,5–6,25,5,5,0.8,25,5,14,COMPLETE,HIGH,"Multi-house consensus (25 polls, 5 pollsters)."
2010,2010-09-19,C,Centerpartiet,6.694,6.5567,390804,5960408,-0.1373,2.694,True,True,True,above_to_above,-0.1373,>=6,27,7,7,1.0,27,7,14,COMPLETE,HIGH,"Multi-house consensus (27 polls, 7 pollsters)."
2010,2010-09-19,KD,Kristdemokraterna,5.9446,5.5985,333696,5960408,-0.3461,1.9446,True,True,True,above_to_above,-0.3461,5–6,27,7,7,1.0,27,7,14,COMPLETE,HIGH,"Multi-house consensus (27 polls, 7 pollsters)."
2010,2010-09-19,L,Folkpartiet liberalerna,7.2139,7.0553,420524,5960408,-0.1586,3.2139,True,True,True,above_to_above,-0.1586,>=6,27,7,7,1.0,27,7,14,COMPLETE,HIGH,"Multi-house consensus (27 polls, 7 pollsters)."
2010,2010-09-19,M,Moderata Samlingspartiet,29.482,30.0611,1791766,5960408,0.5791,25.482,True,True,True,above_to_above,0.5791,>=6,27,7,7,1.0,27,7,14,COMPLETE,HIGH,"Multi-house consensus (27 polls, 7 pollsters)."
2010,2010-09-19,MP,Miljöpartiet de gröna,8.6599,7.339,437435,5960408,-1.3209,4.6599,True,True,True,above_to_above,-1.3209,>=6,27,7,7,1.0,27,7,14,COMPLETE,HIGH,"Multi-house consensus (27 polls, 7 pollsters)."
2010,2010-09-19,S,Arbetarepartiet-Socialdemokraterna,29.3557,30.6606,1827497,5960408,1.3049,25.3557,True,True,True,above_to_above,1.3049,>=6,27,7,7,1.0,27,7,14,COMPLETE,HIGH,"Multi-house consensus (27 polls, 7 pollsters)."
2010,2010-09-19,SD,Sverigedemokraterna,5.1147,5.6978,339610,5960408,0.5831,1.1147,True,True,True,above_to_above,0.5831,5–6,27,7,7,1.0,27,7,14,COMPLETE,HIGH,"Multi-house consensus (27 polls, 7 pollsters)."
2010,2010-09-19,V,Vänsterpartiet,5.9349,5.6045,334053,5960408,-0.3304,1.9349,True,True,True,above_to_above,-0.3304,5–6,27,7,7,1.0,27,7,14,COMPLETE,HIGH,"Multi-house consensus (27 polls, 7 pollsters)."
2014,2014-09-14,C,Centerpartiet,6.2698,6.113,380937,6231573,-0.1568,2.2698,True,True,True,above_to_above,-0.1568,>=6,23,9,9,1.0,23,9,14,COMPLETE,HIGH,"Multi-house consensus (23 polls, 9 pollsters)."
2014,2014-09-14,FI,Feministiskt initiativ,3.7195,3.1247,194719,6231573,-0.5948,-0.2805,False,False,False,below_to_below,0.5948,3.5–4,23,9,9,1.0,23,9,14,COMPLETE,HIGH,"Multi-house consensus (23 polls, 9 pollsters)."
2014,2014-09-14,KD,Kristdemokraterna,5.2054,4.5704,284806,6231573,-0.635,1.2054,True,True,True,above_to_above,-0.635,5–6,23,9,9,1.0,23,9,14,COMPLETE,HIGH,"Multi-house consensus (23 polls, 9 pollsters)."
2014,2014-09-14,L,Folkpartiet liberalerna,6.2894,5.4203,337773,6231573,-0.8691,2.2894,True,True,True,above_to_above,-0.8691,>=6,23,9,9,1.0,23,9,14,COMPLETE,HIGH,"Multi-house consensus (23 polls, 9 pollsters)."
2014,2014-09-14,M,Moderaterna,21.9586,23.325,1453517,6231573,1.3664,17.9586,True,True,True,above_to_above,1.3664,>=6,23,9,9,1.0,23,9,14,COMPLETE,HIGH,"Multi-house consensus (23 polls, 9 pollsters)."
2014,2014-09-14,MP,Miljöpartiet de gröna,8.8075,6.8887,429275,6231573,-1.9188,4.8075,True,True,True,above_to_above,-1.9188,>=6,23,9,9,1.0,23,9,14,COMPLETE,HIGH,"Multi-house consensus (23 polls, 9 pollsters)."
2014,2014-09-14,S,Arbetarepartiet-Socialdemokraterna,29.9124,31.0148,1932711,6231573,1.1024,25.9124,True,True,True,above_to_above,1.1024,>=6,23,9,9,1.0,23,9,14,COMPLETE,HIGH,"Multi-house consensus (23 polls, 9 pollsters)."
2014,2014-09-14,SD,Sverigedemokraterna,9.9722,12.8568,801178,6231573,2.8846,5.9722,True,True,True,above_to_above,2.8846,>=6,23,9,9,1.0,23,9,14,COMPLETE,HIGH,"Multi-house consensus (23 polls, 9 pollsters)."
2014,2014-09-14,V,Vänsterpartiet,6.8439,5.7182,356331,6231573,-1.1257,2.8439,True,True,True,above_to_above,-1.1257,>=6,23,9,9,1.0,23,9,14,COMPLETE,HIGH,"Multi-house consensus (23 polls, 9 pollsters)."
2018,2018-09-09,C,Centerpartiet,8.5294,8.6077,557500,6476725,0.0783,4.5294,True,True,True,above_to_above,0.0783,>=6,35,10,10,1.0,35,10,14,COMPLETE,HIGH,"Multi-house consensus (35 polls, 10 pollsters)."
2018,2018-09-09,FI,Feministiskt initiativ,1.0152,0.458,29665,6476725,-0.5572,-2.9848,False,False,False,below_to_below,0.5572,<2,23,4,4,1.0,35,10,14,COMPLETE,MEDIUM,"Multi-house consensus (35 polls, 10 pollsters)."
