election_year,constituency_code,constituency_name,eligible_voters,valid_votes,turnout_rate
2018,12,Skåne läns västra,226876.0,191506.0,0.8441
2018,13,Skåne läns södra,285170.0,252804.0,0.886503
2018,14,Skåne läns norra och östra,237178.0,202502.0,0.853798
2018,15,Hallands län,245991.0,216982.0,0.882073
2018,16,Göteborgs kommun,418425.0,349645.0,0.835622
2018,17,Västra Götalands läns västra,273965.0,243278.0,0.887989
2018,18,Västra Götalands läns norra,203176.0,174573.0,0.859221
2018,19,Västra Götalands läns södra,165725.0,143505.0,0.865922
2018,20,Västra Götalands läns östra,202936.0,177001.0,0.872201
2018,21,Värmlands län,213173.0,183966.0,0.862989
2018,22,Örebro län,224811.0,195157.0,0.868094
2018,23,Västmanlands län,201215.0,172719.0,0.85838
2018,24,Dalarnas län,217205.0,188027.0,0.865666
2018,25,Gävleborgs län,217235.0,185413.0,0.853513
2018,26,Västernorrlands län,187500.0,163001.0,0.869339
2018,27,Jämtlands län,99012.0,85223.0,0.860734
2018,28,Västerbottens län,205278.0,178837.0,0.871194
2018,29,Norrbottens län,193659.0,166678.0,0.860678
2022,1,Stockholms kommun,728089.0,606754.0,0.833351
2022,2,Stockholms län,1006456.0,822512.0,0.817236
2022,3,Uppsala län,292255.0,248891.0,0.851623
2022,4,Södermanlands län,223767.0,184883.0,0.82623
2022,5,Östergötlands län,356210.0,300600.0,0.843884
2022,6,Jönköpings län,271666.0,229125.0,0.843407
2022,7,Kronobergs län,147910.0,124992.0,0.845054
2022,8,Kalmar län,189781.0,161267.0,0.849753
2022,9,Gotlands län,48274.0,41459.0,0.858827
2022,10,Blekinge län,121789.0,103580.0,0.850487
2022,11,Malmö kommun,251172.0,192045.0,0.764596
2022,12,Skåne läns västra,236712.0,191683.0,0.809773
2022,13,Skåne läns södra,299809.0,259372.0,0.865124
2022,14,Skåne läns norra och östra,244489.0,202971.0,0.830185
2022,15,Hallands län,258794.0,221675.0,0.856569
2022,16,Göteborgs kommun,434273.0,347103.0,0.799274
2022,17,Västra Götalands läns västra,285927.0,247863.0,0.866875
2022,18,Västra Götalands läns norra,208144.0,173655.0,0.834302
2022,19,Västra Götalands läns södra,170107.0,141906.0,0.834216
2022,20,Västra Götalands läns östra,207560.0,176526.0,0.850482
2022,21,Värmlands län,216666.0,182237.0,0.841096
2022,22,Örebro län,232024.0,194190.0,0.836939
2022,23,Västmanlands län,208376.0,170749.0,0.819427
2022,24,Dalarnas län,221344.0,186599.0,0.843027
2022,25,Gävleborgs län,221395.0,182587.0,0.824711
2022,26,Västernorrlands län,188542.0,158723.0,0.841844
2022,27,Jämtlands län,101363.0,85024.0,0.838807
2022,28,Västerbottens län,209485.0,177543.0,0.847521
2022,29,Norrbottens län,193011.0,161456.0,0.836512
2026,1,Stockholms kommun,764889.0,,
2026,2,Stockholms län,1067172.0,,
2026,3,Uppsala län,309333.0,,
2026,4,Södermanlands län,229568.0,,
2026,5,Östergötlands län,367060.0,,
2026,6,Jönköpings län,279005.0,,
2026,7,Kronobergs län,151650.0,,
2026,8,Kalmar län,191083.0,,
2026,9,Gotlands län,48435.0,,
2026,10,Blekinge län,123298.0,,
2026,11,Malmö kommun,267820.0,,
2026,12,Skåne läns västra,246130.0,,
2026,13,Skåne läns södra,313023.0,,
2026,14,Skåne läns norra och östra,248742.0,,
2026,15,Hallands län,268009.0,,
2026,16,Göteborgs kommun,462708.0,,
2026,17,Västra Götalands läns västra,297167.0,,
2026,18,Västra Götalands läns norra,210138.0,,
2026,19,Västra Götalands läns södra,174136.0,,
2026,20,Västra Götalands läns östra,210051.0,,
2026,21,Värmlands län,219299.0,,
2026,22,Örebro län,238704.0,,
2026,23,Västmanlands län,213717.0,,
2026,24,Dalarnas län,223629.0,,
2026,25,Gävleborgs län,222290.0,,
2026,26,Västernorrlands län,189501.0,,
2026,27,Jämtlands län,103291.0,,
2026,28,Västerbottens län,213611.0,,
2026,29,Norrbottens län,193266.0,,
