election_date,election_year,origin_date,horizon_days,variant,party,is_parliamentary,actual,forecast_mean,p05,p10,p25,p50,p75,p90,p95,actual_percentile,absolute_error,crps,inside_50,inside_80,inside_90,width_50,width_80,width_90,mean_lambda,p05_lambda,fraction_lambda_lt_0_99,fraction_lambda_lt_0_90,fraction_lambda_lt_0_75,training_elections_count,training_elections
2018-09-09,2018,2018-05-20,112,pp_bias_plus_noise,KD,True,6.3223,2.3578,1.6785,1.8222,2.0724,2.3652,2.6395,2.8911,3.0196,100.0,3.9571,3.733498,False,False,False,0.5671,1.0689,1.3411,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,pp_bias_plus_noise,S,True,28.261,27.3685,24.7141,25.2099,26.025,27.3149,28.4562,29.9263,30.6882,71.16,0.9461,0.623216,True,True,True,2.4312,4.7164,5.9741,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,pp_bias_plus_noise,V,True,8.0049,7.5902,6.2149,6.4431,6.9429,7.6763,8.2071,8.6147,8.865,64.76,0.3286,0.262963,True,True,True,1.2642,2.1716,2.65,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,pp_bias_plus_noise,MP,True,4.4143,3.2362,1.8884,2.0956,2.5499,3.2678,3.889,4.3014,4.5669,92.36,1.1464,0.741604,False,False,True,1.3391,2.2059,2.6785,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,pp_bias_plus_noise,SD,True,17.534,21.1807,17.8425,18.5321,19.748,21.0643,22.5637,24.0215,24.831,3.74,3.5304,2.49941,False,False,False,2.8157,5.4894,6.9885,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,pp_bias_plus_noise,REST,False,1.5307,2.6797,1.9422,2.0755,2.3437,2.6693,2.9852,3.2836,3.4871,0.36,1.1386,0.883376,False,False,False,0.6415,1.2081,1.5449,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,base,M,True,19.8356,20.536,16.8933,18.2636,19.1488,20.4439,21.8775,22.8355,24.6059,39.3,0.6083,0.54215,True,True,True,2.7286,4.5719,7.7126,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,base,L,True,5.4896,4.8914,4.1959,4.3029,4.5421,4.8624,5.2289,5.5255,5.6799,88.56,0.6272,0.38137,False,True,True,0.6868,1.2226,1.484,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,base,C,True,8.6077,9.405,7.6675,8.1519,8.7661,9.347,9.9744,10.7066,11.3111,19.64,0.7392,0.456259,False,True,True,1.2083,2.5548,3.6436,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-06-17,84,base,KD,True,6.3223,3.006,2.5679,2.6647,2.8108,2.9945,3.1828,3.3757,3.4759,100.0,3.3278,3.161651,False,False,False,0.372,0.711,0.9081,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
