model,tier,target_year,horizon_days,seed,draws,k_outer,training_residual_years,es_9cat,es_8party,crps_8party_mean,crps_all9_mean,coverage_50,coverage_80,coverage_90,mean_width_50,mean_width_80,mean_width_90,coverage_50_8party,coverage_80_8party,coverage_90_8party,mean_lambda,p05_lambda,fraction_lambda_lt_0_99,fraction_lambda_lt_0_90,fraction_lambda_lt_0_75,min_lambda,p01_lambda,p10_lambda,fraction_lambda_lt_1,atom_index_counts,elapsed_seconds,mandate_law,first_divisor,seat_energy_score,seat_crps_8party_mean,seat_coverage_50,seat_coverage_80,seat_coverage_90,coalition_brier_mean_over_masks,complement_symmetry_max_abs_diff,complement_symmetry_holds,seat_total_always_349
CONTROL_pp_centered_noise,tier3,2018,112,98765,20000,4,2002|2006|2010|2014,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,89.57,POST_2018,6/5,22.0955,6.4017625,0.375,0.75,0.875,0.03244375192913385,2.220446049250313e-16,True,True
CONTROL_pp_centered_noise,tier2,2018,112,54321,20000,4,2002|2006|2010|2014,3.928891754211001,3.7409634162353704,1.1018414250266755,1.1244190207447522,0.4444444444444444,0.6666666666666666,0.7777777777777778,1.8315757307537852,3.4420375031304236,4.451211358424549,0.5,0.75,0.875,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,87.99,POST_2018,6/5,,,,,,,,,
CONTROL_pp_centered_noise,tier3,2018,112,54321,20000,4,2002|2006|2010|2014,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,87.99,POST_2018,6/5,22.1458,6.4210875000000005,0.375,0.75,0.875,0.03258418594488189,2.7755575615628914e-17,True,True
CONTROL_pp_centered_noise,tier2,2018,112,13579,20000,4,2002|2006|2010|2014,3.9134210069026674,3.7241424407311023,1.0978102728275507,1.1213192064516908,0.4444444444444444,0.6666666666666666,0.7777777777777778,1.8363422896665402,3.4505921791924585,4.467468007441117,0.5,0.75,0.875,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,84.92,POST_2018,6/5,,,,,,,,,
CONTROL_pp_centered_noise,tier3,2018,112,13579,20000,4,2002|2006|2010|2014,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,84.92,POST_2018,6/5,22.0884,6.397275,0.375,0.75,0.875,0.03254793466535433,5.551115123125783e-17,True,True
CONTROL_pp_centered_noise,tier2,2018,84,12345,20000,4,2002|2006|2010|2014,4.409013191967494,4.290763797361563,1.271105477707915,1.2444716689871607,0.3333333333333333,0.4444444444444444,0.6666666666666666,1.6534359472300695,3.1004270476641103,3.965630902044664,0.375,0.5,0.75,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,84.66,POST_2018,6/5,,,,,,,,,
CONTROL_pp_centered_noise,tier3,2018,84,12345,20000,4,2002|2006|2010|2014,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,84.66,POST_2018,6/5,22.7016,6.7261375,0.375,0.625,0.625,0.03216189622047244,5.551115123125783e-17,True,True
CONTROL_pp_centered_noise,tier2,2018,84,24680,20000,4,2002|2006|2010|2014,4.382081422448489,4.263240079167215,1.2611031722595896,1.2355183072400349,0.3333333333333333,0.5555555555555556,0.6666666666666666,1.6572204345116501,3.104926863040784,3.953595046804609,0.375,0.625,0.75,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,78.72,POST_2018,6/5,,,,,,,,,
CONTROL_pp_centered_noise,tier3,2018,84,24680,20000,4,2002|2006|2010|2014,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,78.72,POST_2018,6/5,22.5846,6.677099999999999,0.375,0.625,0.625,0.031840211023622056,5.551115123125783e-17,True,True
CONTROL_pp_centered_noise,tier2,2018,84,98765,20000,4,2002|2006|2010|2014,4.37790302092416,4.259526942775319,1.2614603193390617,1.2361041466349476,0.3333333333333333,0.5555555555555556,0.6666666666666666,1.6695076415560277,3.1323883287073375,4.001130308584738,0.375,0.625,0.75,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,79.34,POST_2018,6/5,,,,,,,,,
