tier,case,metric,five_seed_mean,five_seed_sd,relative_sd_pct,n_seeds
tier2,2018_h7,mean_width_80,2.1892197041894628,0.0027668242626061007,0.12638403798902817,5
tier2,2018_h7,mean_width_90,2.5103212893251543,0.0022875041236615334,0.0911239582514348,5
tier2,2018_h7,mean_lambda,1.0,0.0,0.0,5
tier2,2022_h112,es_9cat,3.1851818034142987,0.012343486272313086,0.38752846883282166,5
tier2,2022_h112,es_8party,3.148790051208084,0.012455040838371956,0.39555005687322276,5
tier2,2022_h112,crps_8party_mean,0.9447224448458764,0.0036429628575992846,0.385611972857658,5
tier2,2022_h112,crps_all9_mean,0.8815271219305314,0.0033832484798726934,0.38379403148293717,5
tier2,2022_h112,coverage_50,0.3333333333333333,0.0,0.0,5
tier2,2022_h112,coverage_80,0.7777777777777778,0.0,0.0,5
tier2,2022_h112,coverage_90,0.888888888888889,0.0,0.0,5
tier2,2022_h112,mean_width_50,1.9553447268517723,0.0036229553142170415,0.18528473595805414,5
tier2,2022_h112,mean_width_80,3.7715267661556005,0.01048321047068694,0.27795667698184484,5
tier2,2022_h112,mean_width_90,4.93325320221445,0.025224607685364088,0.5113179204757057,5
tier2,2022_h112,mean_lambda,0.99954,0.00011401754250993532,0.0114070014716705,5
tier2,2022_h84,es_9cat,3.1023105195507723,0.009634649840426108,0.3105636840576889,5
tier2,2022_h84,es_8party,3.0949958469225187,0.010110102875795734,0.32665965887639636,5
tier2,2022_h84,crps_8party_mean,0.906365090385975,0.002357612599660935,0.2601173218903375,5
tier2,2022_h84,crps_all9_mean,0.8325557149674557,0.0020669231166660727,0.2482624381176541,5
tier2,2022_h84,coverage_50,0.3333333333333333,0.0,0.0,5
tier2,2022_h84,coverage_80,0.6666666666666666,0.0,0.0,5
tier2,2022_h84,coverage_90,0.7777777777777778,0.0,0.0,5
tier2,2022_h84,mean_width_50,1.7870677175909058,0.006420614863731792,0.3592821245961086,5
tier2,2022_h84,mean_width_80,3.421259790471826,0.00941261754614722,0.27512139161022686,5
tier2,2022_h84,mean_width_90,4.408331180412864,0.009812118633383488,0.22258124972508372,5
tier2,2022_h84,mean_lambda,0.9989800000000001,0.00016431676725153175,0.016448454148384528,5
tier2,2022_h56,es_9cat,2.540451332935844,0.005454374611230256,0.2147010076720096,5
tier2,2022_h56,es_8party,2.538291898231842,0.0054431466082642726,0.21444131827611843,5
tier2,2022_h56,crps_8party_mean,0.7084802785334253,0.0018020448140971513,0.25435356052922686,5
tier2,2022_h56,crps_all9_mean,0.6525903505581537,0.00157199902589475,0.24088603586464857,5
tier2,2022_h56,coverage_50,0.3333333333333333,0.0,0.0,5
tier2,2022_h56,coverage_80,0.7777777777777778,0.0,0.0,5
tier2,2022_h56,coverage_90,0.888888888888889,0.0,0.0,5
