tier,target_year,horizon_days,seed,mean_lambda,min_lambda,p01_lambda,p05_lambda,p10_lambda,fraction_lambda_lt_1,fraction_lambda_lt_0_99,fraction_lambda_lt_0_90,fraction_lambda_lt_0_75
tier2,2022,28,24680,0.9986,0.5244222624971095,0.9947104327546786,1.0,1.0,0.0105,0.0095,0.0053,0.0013
tier3,2022,28,24680,0.9986,0.5244222624971095,0.9947104327546786,1.0,1.0,0.0105,0.0095,0.0053,0.0013
tier2,2022,28,98765,0.9988,0.4426677597838257,1.0,1.0,1.0,0.0097,0.0089,0.0052,0.0011
tier3,2022,28,98765,0.9988,0.4426677597838257,1.0,1.0,1.0,0.0097,0.0089,0.0052,0.0011
tier2,2022,28,54321,0.9986,0.5023191984033348,1.0,1.0,1.0,0.00965,0.0092,0.006,0.0018
tier3,2022,28,54321,0.9986,0.5023191984033348,1.0,1.0,1.0,0.00965,0.0092,0.006,0.0018
tier2,2022,28,13579,0.9986,0.4805234250340493,1.0,1.0,1.0,0.0096,0.0089,0.0056,0.0018
tier3,2022,28,13579,0.9986,0.4805234250340493,1.0,1.0,1.0,0.0096,0.0089,0.0056,0.0018
tier2,2022,14,12345,0.9969,0.5264605272375529,0.8687458853928376,1.0,1.0,0.02505,0.0238,0.0127,0.0034
tier3,2022,14,12345,0.9969,0.5264605272375529,0.8687458853928376,1.0,1.0,0.02505,0.0238,0.0127,0.0034
tier2,2022,14,24680,0.997,0.5336550837291152,0.8748818734505307,1.0,1.0,0.02355,0.0219,0.0122,0.0035
tier3,2022,14,24680,0.997,0.5336550837291152,0.8748818734505307,1.0,1.0,0.02355,0.0219,0.0122,0.0035
tier2,2022,14,98765,0.9971,0.4784481445551239,0.8779644853096078,1.0,1.0,0.0252,0.0236,0.0118,0.0024
tier3,2022,14,98765,0.9971,0.4784481445551239,0.8779644853096078,1.0,1.0,0.0252,0.0236,0.0118,0.0024
tier2,2022,14,54321,0.9973,0.5319887356720725,0.8865601175780842,1.0,1.0,0.0217,0.0204,0.0109,0.0028
tier3,2022,14,54321,0.9973,0.5319887356720725,0.8865601175780842,1.0,1.0,0.0217,0.0204,0.0109,0.0028
tier2,2022,14,13579,0.9968,0.5381189931792767,0.8642678717342016,1.0,1.0,0.02615,0.0245,0.0131,0.003
tier3,2022,14,13579,0.9968,0.5381189931792767,0.8642678717342016,1.0,1.0,0.02615,0.0245,0.0131,0.003
tier2,2022,7,12345,0.9972,0.42839009365687725,0.8853579410164284,1.0,1.0,0.02205,0.021,0.0113,0.0027
tier3,2022,7,12345,0.9972,0.42839009365687725,0.8853579410164284,1.0,1.0,0.02205,0.021,0.0113,0.0027
tier2,2022,7,24680,0.9972,0.4814396458236481,0.8850712694757199,1.0,1.0,0.02275,0.0214,0.0118,0.0025
tier3,2022,7,24680,0.9972,0.4814396458236481,0.8850712694757199,1.0,1.0,0.02275,0.0214,0.0118,0.0025
tier2,2022,7,98765,0.9973,0.45827943662341514,0.8893754004464968,1.0,1.0,0.02325,0.022,0.0111,0.0021
tier3,2022,7,98765,0.9973,0.45827943662341514,0.8893754004464968,1.0,1.0,0.02325,0.022,0.0111,0.0021
tier2,2022,7,54321,0.9974,0.5515206124487902,0.888109971405466,1.0,1.0,0.022,0.021,0.0117,0.0023
tier3,2022,7,54321,0.9974,0.5515206124487902,0.888109971405466,1.0,1.0,0.022,0.021,0.0117,0.0023
tier2,2022,7,13579,0.9973,0.3851821329638791,0.8901238140046233,1.0,1.0,0.02415,0.0223,0.011,0.0024
tier3,2022,7,13579,0.9973,0.3851821329638791,0.8901238140046233,1.0,1.0,0.02415,0.0223,0.011,0.0024
