election_date,election_year,origin_date,horizon_days,model,party,is_parliamentary,actual,forecast_mean,p05,p10,p25,p50,p75,p90,p95,actual_percentile,absolute_error,crps,inside_50,inside_80,inside_90,width_50,width_80,width_90,samples_count,eligible_transition_count
2022-09-11,2022,2022-09-04,7,dynamics_only,V,True,6.7467,7.6104,7.4591,7.4982,7.5837,7.5998,7.6873,7.7245,7.765,0.0,0.8531,0.808458,False,False,False,0.1036,0.2263,0.3059,200,2905
2022-09-11,2022,2022-09-04,7,dynamics_only,MP,True,5.0825,5.2067,5.0484,5.076,5.1928,5.1997,5.2819,5.3319,5.341,14.5,0.1172,0.082195,False,True,True,0.089,0.2559,0.2926,200,2905
2022-09-11,2022,2022-09-04,7,dynamics_only,SD,True,20.5361,20.0953,19.7381,19.8321,19.972,20.0912,20.2132,20.3684,20.5067,96.5,0.445,0.327983,False,False,False,0.2412,0.5363,0.7686,200,2905
2022-09-11,2022,2022-09-04,7,dynamics_only,REST,False,1.5476,1.2987,1.1369,1.1922,1.2236,1.2998,1.35,1.4089,1.4535,100.0,0.2478,0.196623,False,False,False,0.1264,0.2167,0.3166,200,2905
2022-09-11,2022,2022-09-04,7,state_plus_dynamics,M,True,19.1021,18.3854,17.7763,17.8914,18.1371,18.3944,18.6061,18.8484,18.9894,96.5,0.7077,0.520442,False,False,False,0.469,0.957,1.2131,200,2905
2022-09-11,2022,2022-09-04,7,state_plus_dynamics,L,True,4.6086,4.9185,4.5745,4.6325,4.7437,4.892,5.1083,5.2335,5.3534,8.0,0.2834,0.190619,False,False,True,0.3647,0.6011,0.7789,200,2905
2022-09-11,2022,2022-09-04,7,state_plus_dynamics,C,True,6.7142,6.7061,6.3376,6.42,6.5559,6.6961,6.8596,6.9827,7.0504,52.0,0.0181,0.053336,True,True,True,0.3037,0.5627,0.7128,200,2905
2022-09-11,2022,2022-09-04,7,state_plus_dynamics,KD,True,5.3367,5.6076,5.2331,5.3001,5.4466,5.5676,5.7871,5.925,6.0205,12.5,0.2308,0.159426,False,True,True,0.3404,0.6249,0.7874,200,2905
2022-09-11,2022,2022-09-04,7,state_plus_dynamics,S,True,30.3255,30.1633,29.3389,29.5191,29.826,30.1215,30.5347,30.8484,30.9773,62.0,0.204,0.147822,True,True,True,0.7087,1.3292,1.6384,200,2905
2022-09-11,2022,2022-09-04,7,state_plus_dynamics,V,True,6.7467,7.5986,7.2337,7.3053,7.4316,7.6067,7.7548,7.8695,7.9331,0.0,0.86,0.723074,False,False,False,0.3231,0.5642,0.6994,200,2905
2022-09-11,2022,2022-09-04,7,state_plus_dynamics,MP,True,5.0825,5.1823,4.7632,4.8561,5.0295,5.1781,5.317,5.509,5.6535,32.5,0.0956,0.06967,True,True,True,0.2876,0.653,0.8903,200,2905
2022-09-11,2022,2022-09-04,7,state_plus_dynamics,SD,True,20.5361,20.1054,19.3864,19.5478,19.774,20.1186,20.4031,20.6869,20.8274,84.5,0.4175,0.259717,False,True,True,0.629,1.1391,1.441,200,2905
2022-09-11,2022,2022-09-04,7,state_plus_dynamics,REST,False,1.5476,1.3328,0.88,0.9382,1.1036,1.2793,1.5128,1.7411,1.996,76.5,0.2683,0.152811,False,True,True,0.4093,0.803,1.116,200,2905
